Dia,Muertes_Totales,Muertes_Dia
2021-07-03,1109,2
2021-07-04,1111,1
2021-07-05,1114,1
2021-07-06,1116,1
2021-07-07,1115,0
2021-07-08,1117,0
2021-07-09,1118,0
2021-07-10,1119,0
2021-07-11,1120,1
2021-07-12,1120,0
2021-07-13,1120,0
2021-07-14,1122,2
2021-07-15,1123,0
2021-07-16,1122,0
2021-07-17,1124,3
2021-07-18,1125,0
2021-07-19,1124,0
2021-07-20,1125,0
2021-07-21,1124,0
2021-07-22,1124,0
2021-07-23,1126,1
2021-07-24,1125,0
2021-07-25,1125,0
2021-07-26,1125,0
2021-07-27,1126,0
2021-07-28,1124,0
2021-07-29,1125,0
2021-07-30,1125,0
2021-07-31,1125,0
2021-08-01,1125,0
2021-08-02,1124,1
2021-08-03,1126,0
2021-08-04,1131,1
2021-08-05,1128,0
2021-08-06,1129,0
2021-08-07,1130,0
2021-08-08,1131,0
2021-08-09,1131,1
2021-08-10,1131,0
2021-08-11,1131,0
2021-08-12,1132,1
2021-08-13,1131,1
2021-08-14,1134,0
2021-08-15,1135,0
2021-08-16,1135,0
2021-08-17,1133,1
2021-08-18,1134,2
2021-08-19,1134,0
2021-08-20,1136,0
2021-08-21,1134,0
2021-08-22,1135,1
2021-08-23,1135,0
2021-08-24,1137,1
2021-08-25,1141,2
2021-08-26,1141,0
2021-08-27,1140,0
2021-08-28,1141,0
2021-08-29,1142,0
2021-08-30,1143,1
2021-08-31,1143,0
2021-09-01,1143,0
2021-09-02,1143,0
2021-09-03,1142,0
2021-09-04,1142,0
2021-09-05,1143,0
2021-09-06,1144,0
2021-09-07,1145,1
2021-09-08,1147,0
2021-09-09,1147,0
2021-09-10,1147,0
2021-09-11,1147,0
2021-09-12,1147,0
2021-09-13,1147,0
2021-09-14,1148,0
2021-09-15,1148,0
2021-09-16,1148,0
2021-09-17,1149,1
2021-09-18,1149,0
2021-09-19,1149,0
2021-09-20,1149,0
2021-09-21,1149,0
2021-09-22,1151,0
2021-09-23,1151,0
2021-09-24,1151,0
2021-09-25,1151,0
2021-09-26,1150,0
2021-09-27,1152,0
2021-09-28,1152,0
2021-09-29,1153,0
2021-09-30,1152,0
2021-10-01,1153,0
2021-10-02,1152,0
2021-10-03,1152,0
2021-10-04,1151,0
2021-10-05,1152,0
2021-10-06,1151,0
2021-10-07,1152,0
2021-10-08,1152,0
2021-10-09,1152,0
2021-10-10,1152,0
2021-10-11,1152,0
2021-10-12,1153,0
