Dia,Muertes_Totales,Muertes_Dia
2021-09-01,1551,0
2021-09-02,1553,0
2021-09-03,1551,0
2021-09-04,1552,1
2021-09-05,1554,0
2021-09-06,1554,0
2021-09-07,1554,0
2021-09-08,1554,0
2021-09-09,1554,0
2021-09-10,1556,0
2021-09-11,1557,0
2021-09-12,1557,0
2021-09-13,1556,0
2021-09-14,1557,0
2021-09-15,1557,0
2021-09-16,1556,0
2021-09-17,1558,1
2021-09-18,1558,0
2021-09-19,1558,0
2021-09-20,1558,0
2021-09-21,1558,0
2021-09-22,1559,0
2021-09-23,1559,0
2021-09-24,1559,0
2021-09-25,1560,1
2021-09-26,1559,0
2021-09-27,1559,0
2021-09-28,1559,0
2021-09-29,1562,1
2021-09-30,1562,0
2021-10-01,1563,0
2021-10-02,1563,0
2021-10-03,1564,0
2021-10-04,1562,0
2021-10-05,1563,0
2021-10-06,1563,0
2021-10-07,1562,0
2021-10-08,1562,0
