Dia,Muertes_Totales,Muertes_Dia
2021-05-31,1092,6
2021-06-01,1095,2
2021-06-02,1100,2
2021-06-03,1105,2
2021-06-04,1109,3
2021-06-05,1110,1
2021-06-06,1113,3
2021-06-07,1120,4
2021-06-08,1123,1
2021-06-09,1127,2
2021-06-10,1128,1
2021-06-11,1134,5
2021-06-12,1135,0
2021-06-13,1138,0
2021-06-14,1140,1
2021-06-15,1141,1
2021-06-16,1141,1
2021-06-17,1147,3
2021-06-18,1149,3
2021-06-19,1152,1
2021-06-20,1153,1
2021-06-21,1154,0
2021-06-22,1155,0
2021-06-23,1155,0
2021-06-24,1158,1
2021-06-25,1159,1
2021-06-26,1160,1
2021-06-27,1162,1
2021-06-28,1162,1
2021-06-29,1163,1
2021-06-30,1166,2
2021-07-01,1169,0
2021-07-02,1171,0
2021-07-03,1173,1
2021-07-04,1175,1
2021-07-05,1178,1
2021-07-06,1180,1
2021-07-07,1183,1
2021-07-08,1187,2
2021-07-09,1186,0
2021-07-10,1188,0
2021-07-11,1188,0
2021-07-12,1188,1
2021-07-13,1193,2
2021-07-14,1191,0
2021-07-15,1192,0
2021-07-16,1192,0
2021-07-17,1193,1
2021-07-18,1197,2
2021-07-19,1199,2
2021-07-20,1202,0
2021-07-21,1205,1
2021-07-22,1206,1
2021-07-23,1207,1
2021-07-24,1208,0
2021-07-25,1206,0
2021-07-26,1208,0
2021-07-27,1209,0
2021-07-28,1211,1
2021-07-29,1212,0
2021-07-30,1213,0
2021-07-31,1213,0
2021-08-01,1213,0
2021-08-02,1212,0
2021-08-03,1213,0
2021-08-04,1215,1
2021-08-05,1215,0
2021-08-06,1218,1
2021-08-07,1219,1
2021-08-08,1221,1
2021-08-09,1222,0
2021-08-10,1224,1
2021-08-11,1223,0
2021-08-12,1226,2
2021-08-13,1227,1
2021-08-14,1228,1
2021-08-15,1228,0
2021-08-16,1229,1
2021-08-17,1232,1
2021-08-18,1231,0
2021-08-19,1232,1
2021-08-20,1234,1
2021-08-21,1233,1
2021-08-22,1233,0
2021-08-23,1234,1
2021-08-24,1236,0
2021-08-25,1238,2
2021-08-26,1237,0
2021-08-27,1238,0
2021-08-28,1239,0
2021-08-29,1239,0
2021-08-30,1240,0
2021-08-31,1239,0
2021-09-01,1239,0
2021-09-02,1239,0
2021-09-03,1239,0
2021-09-04,1239,0
2021-09-05,1239,0
2021-09-06,1242,2
2021-09-07,1242,0
2021-09-08,1243,1
2021-09-09,1243,1
2021-09-10,1245,2
2021-09-11,1246,0
2021-09-12,1245,0
2021-09-13,1244,0
2021-09-14,1246,0
2021-09-15,1246,0
2021-09-16,1247,0
2021-09-17,1248,1
2021-09-18,1248,0
2021-09-19,1248,0
2021-09-20,1250,0
2021-09-21,1251,0
2021-09-22,1251,0
2021-09-23,1250,0
2021-09-24,1250,0
2021-09-25,1250,0
2021-09-26,1252,1
2021-09-27,1253,0
2021-09-28,1253,0
2021-09-29,1252,0
2021-09-30,1253,0
2021-10-01,1252,0
2021-10-02,1253,0
2021-10-03,1252,0
2021-10-04,1252,0
2021-10-05,1252,0
2021-10-06,1252,0
2021-10-07,1253,1
2021-10-08,1253,0
2021-10-09,1254,0
2021-10-10,1253,0
2021-10-11,1253,0
2021-10-12,1254,1
