Dia,Muertes_Totales,Muertes_Dia
2021-07-18,80097,11
2021-07-19,80107,6
2021-07-20,80107,5
2021-07-21,80126,16
2021-07-22,80167,13
2021-07-23,80199,11
2021-07-24,80210,17
2021-07-25,80252,14
2021-07-26,80273,9
2021-07-27,80292,11
2021-07-28,80325,8
2021-07-29,80333,1
2021-07-30,80350,7
2021-07-31,80352,12
2021-08-01,80378,6
2021-08-02,80404,7
2021-08-03,80437,9
2021-08-04,80456,6
2021-08-05,80461,8
2021-08-06,80472,6
2021-08-07,80498,6
2021-08-08,80525,19
2021-08-09,80548,8
2021-08-10,80566,12
2021-08-11,80584,8
2021-08-12,80602,8
2021-08-13,80631,8
2021-08-14,80661,6
2021-08-15,80688,18
2021-08-16,80702,9
2021-08-17,80741,13
2021-08-18,80750,8
2021-08-19,80766,9
2021-08-20,80771,7
2021-08-21,80785,10
2021-08-22,80797,9
2021-08-23,80807,3
2021-08-24,80824,7
2021-08-25,80835,7
2021-08-26,80849,1
2021-08-27,80865,5
2021-08-28,80872,1
2021-08-29,80896,13
2021-08-30,80899,2
2021-08-31,80914,6
2021-09-01,80924,6
2021-09-02,80940,8
2021-09-03,80955,4
2021-09-04,80968,7
2021-09-05,80975,6
2021-09-06,80987,1
2021-09-07,80994,6
2021-09-08,81007,7
2021-09-09,81007,7
2021-09-10,81041,6
2021-09-11,81046,8
2021-09-12,81061,4
2021-09-13,81077,8
2021-09-14,81082,3
2021-09-15,81087,6
2021-09-16,81111,7
2021-09-17,81118,6
2021-09-18,81132,9
2021-09-19,81143,7
2021-09-20,81141,5
2021-09-21,81159,3
2021-09-22,81176,6
2021-09-23,81175,3
2021-09-24,81184,3
2021-09-25,81193,3
2021-09-26,81200,7
2021-09-27,81205,0
2021-09-28,81222,8
2021-09-29,81242,5
2021-09-30,81256,7
2021-10-01,81259,6
2021-10-02,81269,5
2021-10-03,81282,3
2021-10-04,81289,6
2021-10-05,81302,7
2021-10-06,81317,10
2021-10-07,81346,7
2021-10-08,81360,7
2021-10-09,81360,5
2021-10-10,81376,9
2021-10-11,81389,10
2021-10-12,81388,2
