Dia,Muertes_Totales,Muertes_Dia
2021-07-03,987,0
2021-07-04,988,0
2021-07-05,993,1
2021-07-06,994,0
2021-07-07,995,0
2021-07-08,996,0
2021-07-09,995,0
2021-07-10,997,1
2021-07-11,998,0
2021-07-12,998,0
2021-07-13,998,0
2021-07-14,998,0
2021-07-15,999,0
2021-07-16,1003,2
2021-07-17,1003,0
2021-07-18,1005,1
2021-07-19,1009,0
2021-07-20,1012,2
2021-07-21,1012,1
2021-07-22,1013,1
2021-07-23,1014,1
2021-07-24,1015,1
2021-07-25,1015,0
2021-07-26,1015,0
2021-07-27,1015,0
2021-07-28,1016,1
2021-07-29,1018,1
2021-07-30,1018,1
2021-07-31,1019,0
2021-08-01,1021,0
2021-08-02,1022,1
2021-08-03,1022,0
2021-08-04,1022,0
2021-08-05,1021,0
2021-08-06,1021,0
2021-08-07,1021,0
2021-08-08,1021,0
2021-08-09,1021,0
2021-08-10,1023,0
2021-08-11,1023,0
2021-08-12,1026,1
2021-08-13,1025,0
2021-08-14,1024,0
2021-08-15,1026,1
2021-08-16,1026,0
2021-08-17,1027,0
2021-08-18,1029,2
2021-08-19,1028,0
2021-08-20,1029,1
2021-08-21,1029,0
2021-08-22,1029,0
2021-08-23,1030,1
2021-08-24,1031,0
2021-08-25,1033,0
2021-08-26,1033,0
2021-08-27,1035,1
2021-08-28,1037,0
2021-08-29,1035,0
2021-08-30,1037,1
2021-08-31,1036,0
2021-09-01,1036,0
2021-09-02,1037,0
2021-09-03,1037,0
2021-09-04,1037,0
2021-09-05,1038,0
2021-09-06,1036,0
2021-09-07,1036,0
2021-09-08,1036,0
2021-09-09,1036,0
2021-09-10,1038,1
2021-09-11,1038,0
2021-09-12,1038,0
2021-09-13,1037,0
2021-09-14,1038,0
2021-09-15,1037,0
2021-09-16,1039,1
2021-09-17,1038,0
2021-09-18,1039,0
2021-09-19,1039,0
2021-09-20,1039,0
2021-09-21,1041,1
2021-09-22,1041,0
2021-09-23,1041,0
2021-09-24,1041,0
2021-09-25,1041,0
2021-09-26,1040,0
2021-09-27,1040,0
2021-09-28,1041,0
2021-09-29,1041,0
2021-09-30,1044,0
2021-10-01,1042,0
2021-10-02,1042,0
2021-10-03,1043,0
2021-10-04,1043,0
2021-10-05,1044,0
2021-10-06,1043,1
2021-10-07,1043,0
2021-10-08,1043,0
2021-10-09,1046,0
2021-10-10,1044,0
2021-10-11,1045,1
2021-10-12,1045,0
