Dia,Casos_Totales,Tasa_Ataque
2021-08-07,94,8.07
2021-08-08,94,8.07
2021-08-09,95,8.15
2021-08-10,95,8.15
2021-08-11,95,8.15
2021-08-12,95,8.15
2021-08-13,95,8.15
2021-08-14,95,8.15
2021-08-15,95,8.15
2021-08-16,95,8.15
2021-08-17,95,8.15
2021-08-18,96,8.24
2021-08-19,96,8.24
2021-08-20,96,8.24
2021-08-21,96,8.24
2021-08-22,96,8.24
2021-08-23,96,8.24
2021-08-24,96,8.24
2021-08-25,96,8.24
2021-08-26,96,8.24
2021-08-27,96,8.24
2021-08-28,96,8.24
2021-08-29,96,8.24
2021-08-30,96,8.24
2021-08-31,96,8.24
2021-09-01,96,8.24
2021-09-02,96,8.24
2021-09-03,97,8.33
2021-09-04,98,8.41
2021-09-05,98,8.41
2021-09-06,98,8.41
2021-09-07,98,8.41
2021-09-08,98,8.41
2021-09-09,98,8.41
2021-09-10,98,8.41
2021-09-11,98,8.41
2021-09-12,98,8.41
2021-09-13,98,8.41
2021-09-14,98,8.41
2021-09-15,98,8.41
2021-09-16,98,8.41
2021-09-17,98,8.41
2021-09-18,98,8.41
2021-09-19,98,8.41
2021-09-20,98,8.41
2021-09-21,98,8.41
2021-09-22,98,8.41
2021-09-23,98,8.41
2021-09-24,98,8.41
2021-09-25,98,8.41
2021-09-26,98,8.41
2021-09-27,98,8.41
2021-09-28,98,8.41
2021-09-29,98,8.41
2021-09-30,99,8.5
2021-10-01,99,8.5
2021-10-02,99,8.5
2021-10-03,99,8.5
2021-10-04,99,8.5
2021-10-05,99,8.5
2021-10-06,99,8.5
2021-10-07,99,8.5
2021-10-08,99,8.5
2021-10-09,99,8.5
2021-10-10,99,8.5
2021-10-11,99,8.5
2021-10-12,99,8.5
