Dia,Casos_Totales,Tasa_Ataque
2021-07-03,466,1.16
2021-07-04,466,1.16
2021-07-05,466,1.16
2021-07-06,466,1.16
2021-07-07,466,1.16
2021-07-08,466,1.16
2021-07-09,466,1.16
2021-07-10,466,1.16
2021-07-11,467,1.17
2021-07-12,467,1.17
2021-07-13,467,1.17
2021-07-14,470,1.17
2021-07-15,470,1.17
2021-07-16,473,1.18
2021-07-17,474,1.18
2021-07-18,475,1.19
2021-07-19,475,1.19
2021-07-20,478,1.19
2021-07-21,478,1.19
2021-07-22,478,1.19
2021-07-23,479,1.2
2021-07-24,480,1.2
2021-07-25,480,1.2
2021-07-26,480,1.2
2021-07-27,480,1.2
2021-07-28,480,1.2
2021-07-29,480,1.2
2021-07-30,480,1.2
2021-07-31,481,1.2
2021-08-01,482,1.2
2021-08-02,482,1.2
2021-08-03,482,1.2
2021-08-04,483,1.21
2021-08-05,483,1.21
2021-08-06,483,1.21
2021-08-07,483,1.21
2021-08-08,483,1.21
2021-08-09,483,1.21
2021-08-10,483,1.21
2021-08-11,483,1.21
2021-08-12,485,1.21
2021-08-13,485,1.21
2021-08-14,486,1.21
2021-08-15,486,1.21
2021-08-16,486,1.21
2021-08-17,487,1.22
2021-08-18,487,1.22
2021-08-19,487,1.22
2021-08-20,487,1.22
2021-08-21,487,1.22
2021-08-22,487,1.22
2021-08-23,487,1.22
2021-08-24,488,1.22
2021-08-25,488,1.22
2021-08-26,489,1.22
2021-08-27,490,1.22
2021-08-28,490,1.22
2021-08-29,491,1.23
2021-08-30,492,1.23
2021-08-31,492,1.23
2021-09-01,492,1.23
2021-09-02,492,1.23
2021-09-03,492,1.23
2021-09-04,492,1.23
2021-09-05,492,1.23
2021-09-06,492,1.23
2021-09-07,495,1.24
2021-09-08,495,1.24
2021-09-09,495,1.24
2021-09-10,496,1.24
2021-09-11,496,1.24
2021-09-12,496,1.24
2021-09-13,496,1.24
2021-09-14,496,1.24
2021-09-15,496,1.24
2021-09-16,498,1.24
2021-09-17,498,1.24
2021-09-18,498,1.24
2021-09-19,499,1.25
2021-09-20,499,1.25
2021-09-21,499,1.25
2021-09-22,499,1.25
2021-09-23,500,1.25
2021-09-24,500,1.25
2021-09-25,500,1.25
2021-09-26,500,1.25
2021-09-27,500,1.25
2021-09-28,500,1.25
2021-09-29,500,1.25
2021-09-30,501,1.25
2021-10-01,501,1.25
2021-10-02,501,1.25
2021-10-03,501,1.25
2021-10-04,501,1.25
2021-10-05,501,1.25
2021-10-06,501,1.25
2021-10-07,501,1.25
2021-10-08,501,1.25
2021-10-09,501,1.25
2021-10-10,501,1.25
2021-10-11,501,1.25
2021-10-12,501,1.25
