Dia,Casos_Totales,Tasa_Ataque
2021-04-05,337,1.65
2021-04-06,337,1.65
2021-04-07,339,0.85
2021-04-08,342,0.85
2021-04-09,347,0.87
2021-04-10,356,0.89
2021-04-11,358,0.89
2021-04-12,364,0.91
2021-04-13,366,0.91
2021-04-14,373,0.93
2021-04-15,383,0.96
2021-04-16,375,0.94
2021-04-17,391,0.98
2021-04-18,391,0.98
2021-04-19,394,0.98
2021-04-20,403,1.01
2021-04-21,404,1.01
2021-04-22,409,1.02
2021-04-23,413,1.03
2021-04-24,417,1.04
2021-04-25,423,1.06
2021-04-26,427,1.07
2021-04-27,427,1.07
2021-04-28,429,1.07
2021-04-29,431,1.08
2021-04-30,432,1.08
2021-05-01,434,1.08
2021-05-02,435,1.09
2021-05-03,436,1.09
2021-05-04,437,1.09
2021-05-05,437,1.09
2021-05-06,439,1.1
2021-05-07,439,1.1
2021-05-08,440,1.1
2021-05-09,440,1.1
2021-05-10,441,1.1
2021-05-11,443,1.11
2021-05-12,443,1.11
2021-05-13,443,1.11
2021-05-14,443,1.11
2021-05-15,443,1.11
2021-05-16,444,1.11
2021-05-17,445,1.11
2021-05-18,445,1.11
2021-05-19,446,1.11
2021-05-20,448,1.12
2021-05-21,450,1.12
2021-05-22,451,1.13
2021-05-23,451,1.13
2021-05-24,452,1.13
2021-05-25,452,1.13
2021-05-26,452,1.13
2021-05-27,453,1.13
2021-05-28,453,1.13
2021-05-29,453,1.13
2021-05-30,453,1.13
2021-05-31,454,1.13
2021-06-01,454,1.13
2021-06-02,455,1.14
2021-06-03,455,1.14
2021-06-04,456,1.14
2021-06-05,457,1.14
2021-06-06,457,1.14
2021-06-07,458,1.14
2021-06-08,459,1.15
2021-06-09,459,1.15
2021-06-10,460,1.15
2021-06-11,460,1.15
2021-06-12,460,1.15
2021-06-13,460,1.15
2021-06-14,461,1.15
2021-06-15,461,1.15
2021-06-16,461,1.15
2021-06-17,461,1.15
2021-06-18,462,1.15
2021-06-19,463,1.16
2021-06-20,463,1.16
2021-06-21,463,1.16
2021-06-22,464,1.16
2021-06-23,465,1.16
2021-06-24,465,1.16
2021-06-25,465,1.16
2021-06-26,465,1.16
2021-06-27,465,1.16
2021-06-28,465,1.16
2021-06-29,465,1.16
2021-06-30,466,1.16
2021-07-01,466,1.16
2021-07-02,466,1.16
2021-07-03,466,1.16
2021-07-04,466,1.16
2021-07-05,466,1.16
2021-07-06,466,1.16
2021-07-07,466,1.16
2021-07-08,466,1.16
2021-07-09,466,1.16
2021-07-10,466,1.16
2021-07-11,467,1.17
2021-07-12,467,1.17
2021-07-13,467,1.17
2021-07-14,470,1.17
2021-07-15,470,1.17
2021-07-16,473,1.18
2021-07-17,474,1.18
2021-07-18,475,1.19
2021-07-19,475,1.19
2021-07-20,478,1.19
2021-07-21,478,1.19
2021-07-22,478,1.19
2021-07-23,479,1.2
2021-07-24,480,1.2
2021-07-25,480,1.2
2021-07-26,480,1.2
2021-07-27,480,1.2
2021-07-28,480,1.2
2021-07-29,480,1.2
2021-07-30,480,1.2
2021-07-31,481,1.2
2021-08-01,482,1.2
2021-08-02,482,1.2
2021-08-03,482,1.2
2021-08-04,483,1.21
2021-08-05,483,1.21
2021-08-06,483,1.21
2021-08-07,483,1.21
2021-08-08,483,1.21
2021-08-09,483,1.21
2021-08-10,483,1.21
2021-08-11,483,1.21
2021-08-12,485,1.21
2021-08-13,485,1.21
2021-08-14,486,1.21
2021-08-15,486,1.21
2021-08-16,486,1.21
2021-08-17,487,1.22
2021-08-18,487,1.22
2021-08-19,487,1.22
2021-08-20,487,1.22
2021-08-21,487,1.22
2021-08-22,487,1.22
2021-08-23,487,1.22
2021-08-24,488,1.22
2021-08-25,488,1.22
2021-08-26,489,1.22
2021-08-27,490,1.22
2021-08-28,490,1.22
2021-08-29,491,1.23
2021-08-30,492,1.23
2021-08-31,492,1.23
2021-09-01,492,1.23
2021-09-02,492,1.23
2021-09-03,492,1.23
2021-09-04,492,1.23
2021-09-05,492,1.23
2021-09-06,492,1.23
2021-09-07,495,1.24
2021-09-08,495,1.24
2021-09-09,495,1.24
2021-09-10,496,1.24
2021-09-11,496,1.24
2021-09-12,496,1.24
2021-09-13,496,1.24
2021-09-14,496,1.24
2021-09-15,496,1.24
2021-09-16,498,1.24
2021-09-17,498,1.24
2021-09-18,498,1.24
2021-09-19,499,1.25
2021-09-20,499,1.25
2021-09-21,499,1.25
2021-09-22,499,1.25
2021-09-23,500,1.25
2021-09-24,500,1.25
2021-09-25,500,1.25
2021-09-26,500,1.25
2021-09-27,500,1.25
2021-09-28,500,1.25
2021-09-29,500,1.25
2021-09-30,501,1.25
2021-10-01,501,1.25
2021-10-02,501,1.25
2021-10-03,501,1.25
2021-10-04,501,1.25
2021-10-05,501,1.25
2021-10-06,501,1.25
2021-10-07,501,1.25
2021-10-08,501,1.25
