Dia,Casos_Totales,Tasa_Ataque
2021-07-17,5621,2.25
2021-07-18,5623,2.25
2021-07-19,5628,2.26
2021-07-20,5633,2.26
2021-07-21,5636,2.26
2021-07-22,5638,2.26
2021-07-23,5644,2.26
2021-07-24,5650,2.27
2021-07-25,5650,2.27
2021-07-26,5654,2.27
2021-07-27,5662,2.27
2021-07-28,5668,2.27
2021-07-29,5670,2.27
2021-07-30,5670,2.27
2021-07-31,5677,2.28
2021-08-01,5680,2.28
2021-08-02,5692,2.28
2021-08-03,5696,2.28
2021-08-04,5704,2.29
2021-08-05,5707,2.29
2021-08-06,5715,2.29
2021-08-07,5721,2.29
2021-08-08,5722,2.29
2021-08-09,5727,2.3
2021-08-10,5734,2.3
2021-08-11,5736,2.3
2021-08-12,5740,2.3
2021-08-13,5746,2.3
2021-08-14,5751,2.31
2021-08-15,5754,2.31
2021-08-16,5758,2.31
2021-08-17,5765,2.31
2021-08-18,5769,2.31
2021-08-19,5771,2.31
2021-08-20,5773,2.31
2021-08-21,5777,2.32
2021-08-22,5777,2.32
2021-08-23,5782,2.32
2021-08-24,5784,2.32
2021-08-25,5788,2.32
2021-08-26,5789,2.32
2021-08-27,5791,2.32
2021-08-28,5792,2.32
2021-08-29,5792,2.32
2021-08-30,5794,2.32
2021-08-31,5795,2.32
2021-09-01,5798,2.32
2021-09-02,5804,2.33
2021-09-03,5810,2.33
2021-09-04,5811,2.33
2021-09-05,5815,2.33
2021-09-06,5818,2.33
2021-09-07,5821,2.33
2021-09-08,5824,2.34
2021-09-09,5825,2.34
2021-09-10,5832,2.34
2021-09-11,5834,2.34
2021-09-12,5834,2.34
2021-09-13,5837,2.34
2021-09-14,5840,2.34
2021-09-15,5843,2.34
2021-09-16,5848,2.34
2021-09-17,5852,2.35
2021-09-18,5854,2.35
2021-09-19,5856,2.35
2021-09-20,5857,2.35
2021-09-21,5859,2.35
2021-09-22,5863,2.35
2021-09-23,5867,2.35
2021-09-24,5869,2.35
2021-09-25,5871,2.35
2021-09-26,5871,2.35
2021-09-27,5872,2.35
2021-09-28,5879,2.36
2021-09-29,5885,2.36
2021-09-30,5891,2.36
2021-10-01,5895,2.36
2021-10-02,5899,2.37
2021-10-03,5899,2.37
2021-10-04,5907,2.37
2021-10-05,5911,2.37
2021-10-06,5914,2.37
2021-10-07,5919,2.37
2021-10-08,5924,2.38
2021-10-09,5926,2.38
2021-10-10,5929,2.38
2021-10-11,5931,2.38
2021-10-12,5938,2.38
