Dia,Casos_Totales,Tasa_Ataque
2021-09-01,8779,2.16
2021-09-02,8786,2.16
2021-09-03,8788,2.16
2021-09-04,8793,2.17
2021-09-05,8794,2.17
2021-09-06,8800,2.17
2021-09-07,8802,2.17
2021-09-08,8805,2.17
2021-09-09,8808,2.17
2021-09-10,8810,2.17
2021-09-11,8811,2.17
2021-09-12,8813,2.17
2021-09-13,8817,2.17
2021-09-14,8818,2.17
2021-09-15,8824,2.17
2021-09-16,8830,2.17
2021-09-17,8832,2.17
2021-09-18,8837,2.18
2021-09-19,8840,2.18
2021-09-20,8845,2.18
2021-09-21,8845,2.18
2021-09-22,8847,2.18
2021-09-23,8852,2.18
2021-09-24,8854,2.18
2021-09-25,8854,2.18
2021-09-26,8856,2.18
2021-09-27,8861,2.18
2021-09-28,8863,2.18
2021-09-29,8864,2.18
2021-09-30,8869,2.18
2021-10-01,8876,2.19
2021-10-02,8882,2.19
2021-10-03,8883,2.19
2021-10-04,8883,2.19
2021-10-05,8894,2.19
2021-10-06,8896,2.19
2021-10-07,8900,2.19
2021-10-08,8902,2.19
