Dia,Casos_Totales,Tasa_Ataque
2021-07-01,12147,2.84
2021-07-02,12165,2.84
2021-07-03,12177,2.85
2021-07-04,12189,2.85
2021-07-05,12203,2.85
2021-07-06,12221,2.86
2021-07-07,12240,2.86
2021-07-08,12250,2.86
2021-07-09,12271,2.87
2021-07-10,12278,2.87
2021-07-11,12280,2.87
2021-07-12,12299,2.88
2021-07-13,12321,2.88
2021-07-14,12332,2.88
2021-07-15,12345,2.89
2021-07-16,12355,2.89
2021-07-17,12362,2.89
2021-07-18,12365,2.89
2021-07-19,12375,2.89
2021-07-20,12383,2.9
2021-07-21,12394,2.9
2021-07-22,12406,2.9
2021-07-23,12423,2.9
2021-07-24,12441,2.91
2021-07-25,12449,2.91
2021-07-26,12463,2.91
2021-07-27,12477,2.92
2021-07-28,12479,2.92
2021-07-29,12482,2.92
2021-07-30,12482,2.92
2021-07-31,12509,2.92
2021-08-01,12515,2.93
2021-08-02,12519,2.93
2021-08-03,12531,2.93
2021-08-04,12545,2.93
2021-08-05,12557,2.94
2021-08-06,12565,2.94
2021-08-07,12567,2.94
2021-08-08,12570,2.94
2021-08-09,12580,2.94
2021-08-10,12587,2.94
2021-08-11,12595,2.94
2021-08-12,12601,2.95
2021-08-13,12611,2.95
2021-08-14,12615,2.95
2021-08-15,12618,2.95
2021-08-16,12626,2.95
2021-08-17,12632,2.95
2021-08-18,12645,2.96
2021-08-19,12671,2.96
2021-08-20,12680,2.96
2021-08-21,12688,2.97
2021-08-22,12693,2.97
2021-08-23,12700,2.97
2021-08-24,12706,2.97
2021-08-25,12712,2.97
2021-08-26,12717,2.97
2021-08-27,12732,2.98
2021-08-28,12740,2.98
2021-08-29,12742,2.98
2021-08-30,12746,2.98
2021-08-31,12756,2.98
2021-09-01,12762,2.98
2021-09-02,12767,2.99
2021-09-03,12773,2.99
2021-09-04,12781,2.99
2021-09-05,12786,2.99
2021-09-06,12794,2.99
2021-09-07,12797,2.99
2021-09-08,12803,2.99
2021-09-09,12810,3
2021-09-10,12820,3
2021-09-11,12825,3
2021-09-12,12826,3
2021-09-13,12829,3
2021-09-14,12835,3
2021-09-15,12840,3
2021-09-16,12846,3
2021-09-17,12850,3
2021-09-18,12856,3.01
2021-09-19,12861,3.01
2021-09-20,12875,3.01
2021-09-21,12877,3.01
2021-09-22,12889,3.01
2021-09-23,12896,3.02
2021-09-24,12903,3.02
2021-09-25,12906,3.02
2021-09-26,12907,3.02
2021-09-27,12918,3.02
2021-09-28,12929,3.02
2021-09-29,12938,3.03
2021-09-30,12946,3.03
2021-10-01,12960,3.03
2021-10-02,12968,3.03
2021-10-03,12971,3.03
2021-10-04,12976,3.03
2021-10-05,12988,3.04
2021-10-06,13000,3.04
2021-10-07,13014,3.04
2021-10-08,13019,3.04
2021-10-09,13026,3.05
2021-10-10,13029,3.05
2021-10-11,13038,3.05
2021-10-12,13045,3.05
