Dia,Casos_Totales,Tasa_Ataque
2021-05-29,447,2.63
2021-05-30,447,2.63
2021-05-31,447,2.63
2021-06-01,449,2.64
2021-06-02,450,2.65
2021-06-03,451,2.65
2021-06-04,453,2.66
2021-06-05,458,2.69
2021-06-06,459,2.7
2021-06-07,461,2.71
2021-06-08,463,2.72
2021-06-09,465,2.73
2021-06-10,468,2.75
2021-06-11,470,2.76
2021-06-12,471,2.77
2021-06-13,471,2.77
2021-06-14,472,2.78
2021-06-15,477,2.81
2021-06-16,479,2.82
2021-06-17,484,2.85
2021-06-18,485,2.85
2021-06-19,485,2.85
2021-06-20,486,2.86
2021-06-21,487,2.86
2021-06-22,490,2.88
2021-06-23,491,2.89
2021-06-24,491,2.89
2021-06-25,491,2.89
2021-06-26,491,2.89
2021-06-27,491,2.89
2021-06-28,493,2.9
2021-06-29,495,2.91
2021-06-30,497,2.92
2021-07-01,498,2.93
2021-07-02,499,2.93
2021-07-03,503,2.96
2021-07-04,507,2.98
2021-07-05,507,2.98
2021-07-06,508,2.99
2021-07-07,508,2.99
2021-07-08,508,2.99
2021-07-09,508,2.99
2021-07-10,508,2.99
2021-07-11,508,2.99
2021-07-12,510,3
2021-07-13,510,3
2021-07-14,514,3.02
2021-07-15,514,3.02
2021-07-16,514,3.02
2021-07-17,515,3.03
2021-07-18,515,3.03
2021-07-19,517,3.04
2021-07-20,519,3.05
2021-07-21,520,3.06
2021-07-22,522,3.07
2021-07-23,522,3.07
2021-07-24,523,3.08
2021-07-25,525,3.09
2021-07-26,526,3.09
2021-07-27,528,3.11
2021-07-28,528,3.11
2021-07-29,528,3.11
2021-07-30,528,3.11
2021-07-31,534,3.14
2021-08-01,534,3.14
2021-08-02,535,3.15
2021-08-03,535,3.15
2021-08-04,536,3.15
2021-08-05,536,3.15
2021-08-06,536,3.15
2021-08-07,537,3.16
2021-08-08,538,3.16
2021-08-09,538,3.16
2021-08-10,538,3.16
2021-08-11,538,3.16
2021-08-12,539,3.17
2021-08-13,539,3.17
2021-08-14,539,3.17
2021-08-15,539,3.17
2021-08-16,539,3.17
2021-08-17,539,3.17
2021-08-18,539,3.17
2021-08-19,539,3.17
2021-08-20,540,3.18
2021-08-21,540,3.18
2021-08-22,540,3.18
2021-08-23,540,3.18
2021-08-24,540,3.18
2021-08-25,540,3.18
2021-08-26,540,3.18
2021-08-27,540,3.18
2021-08-28,540,3.18
2021-08-29,540,3.18
2021-08-30,540,3.18
2021-08-31,540,3.18
2021-09-01,540,3.18
2021-09-02,540,3.18
2021-09-03,542,3.19
2021-09-04,542,3.19
2021-09-05,542,3.19
2021-09-06,542,3.19
2021-09-07,542,3.19
2021-09-08,542,3.19
2021-09-09,542,3.19
2021-09-10,542,3.19
2021-09-11,542,3.19
2021-09-12,542,3.19
2021-09-13,542,3.19
2021-09-14,543,3.19
2021-09-15,544,3.2
2021-09-16,545,3.21
2021-09-17,545,3.21
2021-09-18,545,3.21
2021-09-19,549,3.23
2021-09-20,549,3.23
2021-09-21,549,3.23
2021-09-22,549,3.23
2021-09-23,549,3.23
2021-09-24,549,3.23
2021-09-25,549,3.23
2021-09-26,549,3.23
2021-09-27,549,3.23
2021-09-28,550,3.23
2021-09-29,550,3.23
2021-09-30,551,3.24
2021-10-01,551,3.24
2021-10-02,551,3.24
2021-10-03,551,3.24
2021-10-04,554,3.26
2021-10-05,554,3.26
2021-10-06,554,3.26
2021-10-07,557,3.28
2021-10-08,557,3.28
2021-10-09,558,3.28
2021-10-10,558,3.28
2021-10-11,558,3.28
2021-10-12,558,3.28
