Dia,Casos_Totales,Tasa_Ataque
2021-05-02,18444,3.77
2021-05-03,18447,3.77
2021-05-04,18450,3.77
2021-05-05,18452,3.77
2021-05-06,18456,3.77
2021-05-07,18458,3.77
2021-05-08,18461,3.77
2021-05-09,18461,3.77
2021-05-10,18464,3.77
2021-05-11,18472,3.77
2021-05-12,18473,3.77
2021-05-13,18480,3.78
2021-05-14,18485,3.78
2021-05-15,18489,3.78
2021-05-16,18490,3.78
2021-05-17,18494,3.78
2021-05-18,18506,3.78
2021-05-19,18510,3.78
2021-05-20,18514,3.78
2021-05-21,18518,3.78
2021-05-22,18519,3.78
2021-05-23,18519,3.78
2021-05-24,18523,3.78
2021-05-25,18530,3.79
2021-05-26,18536,3.79
2021-05-27,18538,3.79
2021-05-28,18541,3.79
2021-05-29,18545,3.79
2021-05-30,18545,3.79
2021-05-31,18549,3.79
2021-06-01,18552,3.79
2021-06-02,18555,3.79
2021-06-03,18556,3.79
2021-06-04,18560,3.79
2021-06-05,18562,3.79
2021-06-06,18562,3.79
2021-06-07,18563,3.79
2021-06-08,18564,3.79
2021-06-09,18565,3.79
2021-06-10,18565,3.79
2021-06-11,18567,3.79
2021-06-12,18569,3.79
2021-06-13,18569,3.79
2021-06-14,18570,3.79
2021-06-15,18572,3.79
2021-06-16,18573,3.8
2021-06-17,18577,3.8
2021-06-18,18581,3.8
2021-06-19,18584,3.8
2021-06-20,18584,3.8
2021-06-21,18585,3.8
2021-06-22,18587,3.8
2021-06-23,18592,3.8
2021-06-24,18594,3.8
2021-06-25,18598,3.8
2021-06-26,18600,3.8
2021-06-27,18600,3.8
2021-06-28,18601,3.8
2021-06-29,18602,3.8
2021-06-30,18603,3.8
2021-07-01,18604,3.8
2021-07-02,18605,3.8
2021-07-03,18606,3.8
2021-07-04,18606,3.8
2021-07-05,18606,3.8
2021-07-06,18607,3.8
2021-07-07,18609,3.8
2021-07-08,18609,3.8
2021-07-09,18609,3.8
2021-07-10,18611,3.8
2021-07-11,18612,3.8
2021-07-12,18616,3.8
2021-07-13,18618,3.8
2021-07-14,18619,3.8
2021-07-15,18620,3.8
2021-07-16,18620,3.8
2021-07-17,18621,3.8
2021-07-18,18621,3.8
2021-07-19,18622,3.81
2021-07-20,18624,3.81
2021-07-21,18624,3.81
2021-07-22,18626,3.81
2021-07-23,18626,3.81
2021-07-24,18626,3.81
2021-07-25,18626,3.81
2021-07-26,18628,3.81
2021-07-27,18630,3.81
2021-07-28,18632,3.81
2021-07-29,18633,3.81
2021-07-30,18633,3.81
2021-07-31,18634,3.81
2021-08-01,18634,3.81
2021-08-02,18635,3.81
2021-08-03,18637,3.81
2021-08-04,18638,3.81
2021-08-05,18638,3.81
2021-08-06,18638,3.81
2021-08-07,18639,3.81
2021-08-08,18639,3.81
2021-08-09,18639,3.81
2021-08-10,18640,3.81
2021-08-11,18640,3.81
2021-08-12,18640,3.81
2021-08-13,18642,3.81
2021-08-14,18642,3.81
2021-08-15,18643,3.81
2021-08-16,18643,3.81
2021-08-17,18643,3.81
2021-08-18,18644,3.81
2021-08-19,18644,3.81
2021-08-20,18646,3.81
2021-08-21,18648,3.81
2021-08-22,18649,3.81
2021-08-23,18650,3.81
2021-08-24,18652,3.81
2021-08-25,18653,3.81
2021-08-26,18653,3.81
2021-08-27,18654,3.81
2021-08-28,18656,3.81
2021-08-29,18657,3.81
2021-08-30,18657,3.81
2021-08-31,18657,3.81
2021-09-01,18657,3.81
2021-09-02,18657,3.81
2021-09-03,18657,3.81
2021-09-04,18658,3.81
2021-09-05,18658,3.81
2021-09-06,18658,3.81
2021-09-07,18658,3.81
2021-09-08,18658,3.81
2021-09-09,18658,3.81
2021-09-10,18659,3.81
2021-09-11,18660,3.81
2021-09-12,18660,3.81
2021-09-13,18662,3.81
2021-09-14,18662,3.81
2021-09-15,18663,3.81
2021-09-16,18665,3.81
2021-09-17,18667,3.81
2021-09-18,18671,3.82
2021-09-19,18673,3.82
2021-09-20,18682,3.82
2021-09-21,18692,3.82
2021-09-22,18699,3.82
2021-09-23,18699,3.82
2021-09-24,18704,3.82
2021-09-25,18704,3.82
2021-09-26,18706,3.82
2021-09-27,18707,3.82
2021-09-28,18709,3.82
2021-09-29,18712,3.82
2021-09-30,18720,3.83
2021-10-01,18721,3.83
2021-10-02,18722,3.83
2021-10-03,18722,3.83
2021-10-04,18723,3.83
2021-10-05,18724,3.83
2021-10-06,18725,3.83
2021-10-07,18725,3.83
2021-10-08,18725,3.83
2021-10-09,18725,3.83
2021-10-10,18725,3.83
2021-10-11,18725,3.83
2021-10-12,18726,3.83
