Dia,Casos_Totales,Tasa_Ataque
2021-07-04,18606,3.8
2021-07-05,18606,3.8
2021-07-06,18607,3.8
2021-07-07,18609,3.8
2021-07-08,18609,3.8
2021-07-09,18609,3.8
2021-07-10,18611,3.8
2021-07-11,18612,3.8
2021-07-12,18616,3.8
2021-07-13,18618,3.8
2021-07-14,18619,3.8
2021-07-15,18620,3.8
2021-07-16,18620,3.8
2021-07-17,18621,3.8
2021-07-18,18621,3.8
2021-07-19,18622,3.81
2021-07-20,18624,3.81
2021-07-21,18624,3.81
2021-07-22,18626,3.81
2021-07-23,18626,3.81
2021-07-24,18626,3.81
2021-07-25,18626,3.81
2021-07-26,18628,3.81
2021-07-27,18630,3.81
2021-07-28,18632,3.81
2021-07-29,18633,3.81
2021-07-30,18633,3.81
2021-07-31,18634,3.81
2021-08-01,18634,3.81
2021-08-02,18635,3.81
2021-08-03,18637,3.81
2021-08-04,18638,3.81
2021-08-05,18638,3.81
2021-08-06,18638,3.81
2021-08-07,18639,3.81
2021-08-08,18639,3.81
2021-08-09,18639,3.81
2021-08-10,18640,3.81
2021-08-11,18640,3.81
2021-08-12,18640,3.81
2021-08-13,18642,3.81
2021-08-14,18642,3.81
2021-08-15,18643,3.81
2021-08-16,18643,3.81
2021-08-17,18643,3.81
2021-08-18,18644,3.81
2021-08-19,18644,3.81
2021-08-20,18646,3.81
2021-08-21,18648,3.81
2021-08-22,18649,3.81
2021-08-23,18650,3.81
2021-08-24,18652,3.81
2021-08-25,18653,3.81
2021-08-26,18653,3.81
2021-08-27,18654,3.81
2021-08-28,18656,3.81
2021-08-29,18657,3.81
2021-08-30,18657,3.81
2021-08-31,18657,3.81
2021-09-01,18657,3.81
2021-09-02,18657,3.81
2021-09-03,18657,3.81
2021-09-04,18658,3.81
2021-09-05,18658,3.81
2021-09-06,18658,3.81
2021-09-07,18658,3.81
2021-09-08,18658,3.81
2021-09-09,18658,3.81
2021-09-10,18659,3.81
2021-09-11,18660,3.81
2021-09-12,18660,3.81
2021-09-13,18662,3.81
2021-09-14,18662,3.81
2021-09-15,18663,3.81
2021-09-16,18665,3.81
2021-09-17,18667,3.81
2021-09-18,18671,3.82
2021-09-19,18673,3.82
2021-09-20,18682,3.82
2021-09-21,18692,3.82
2021-09-22,18699,3.82
2021-09-23,18699,3.82
2021-09-24,18704,3.82
2021-09-25,18704,3.82
2021-09-26,18706,3.82
2021-09-27,18707,3.82
2021-09-28,18709,3.82
2021-09-29,18712,3.82
2021-09-30,18720,3.83
2021-10-01,18721,3.83
2021-10-02,18722,3.83
2021-10-03,18722,3.83
2021-10-04,18723,3.83
2021-10-05,18724,3.83
2021-10-06,18725,3.83
2021-10-07,18725,3.83
2021-10-08,18725,3.83
2021-10-09,18725,3.83
2021-10-10,18725,3.83
2021-10-11,18725,3.83
2021-10-12,18726,3.83
