Dia,Casos_Totales,Tasa_Ataque
2021-06-03,40377,3.49
2021-06-04,40379,3.49
2021-06-05,40381,3.49
2021-06-06,40382,3.49
2021-06-07,40387,3.49
2021-06-08,40389,3.49
2021-06-09,40391,3.49
2021-06-10,40394,3.49
2021-06-11,40398,3.49
2021-06-12,40398,3.49
2021-06-13,40399,3.49
2021-06-14,40404,3.49
2021-06-15,40409,3.49
2021-06-16,40413,3.49
2021-06-17,40415,3.49
2021-06-18,40416,3.49
2021-06-19,40418,3.5
2021-06-20,40418,3.5
2021-06-21,40421,3.5
2021-06-22,40427,3.5
2021-06-23,40433,3.5
2021-06-24,40435,3.5
2021-06-25,40437,3.5
2021-06-26,40438,3.5
2021-06-27,40438,3.5
2021-06-28,40440,3.5
2021-06-29,40443,3.5
2021-06-30,40446,3.5
2021-07-01,40450,3.5
2021-07-02,40451,3.5
2021-07-03,40455,3.5
2021-07-04,40459,3.5
2021-07-05,40465,3.5
2021-07-06,40472,3.5
2021-07-07,40476,3.5
2021-07-08,40479,3.5
2021-07-09,40481,3.5
2021-07-10,40484,3.5
2021-07-11,40484,3.5
2021-07-12,40489,3.5
2021-07-13,40493,3.5
2021-07-14,40495,3.5
2021-07-15,40496,3.5
2021-07-16,40497,3.5
2021-07-17,40499,3.5
2021-07-18,40499,3.5
2021-07-19,40499,3.5
2021-07-20,40499,3.5
2021-07-21,40500,3.5
2021-07-22,40503,3.5
2021-07-23,40505,3.5
2021-07-24,40506,3.5
2021-07-25,40506,3.5
2021-07-26,40508,3.5
2021-07-27,40512,3.5
2021-07-28,40512,3.5
2021-07-29,40512,3.5
2021-07-30,40512,3.5
2021-07-31,40516,3.5
2021-08-01,40516,3.5
2021-08-02,40519,3.5
2021-08-03,40520,3.5
2021-08-04,40522,3.5
2021-08-05,40523,3.5
2021-08-06,40525,3.5
2021-08-07,40526,3.5
2021-08-08,40526,3.5
2021-08-09,40528,3.5
2021-08-10,40528,3.5
2021-08-11,40529,3.5
2021-08-12,40532,3.51
2021-08-13,40535,3.51
2021-08-14,40537,3.51
2021-08-15,40538,3.51
2021-08-16,40539,3.51
2021-08-17,40540,3.51
2021-08-18,40541,3.51
2021-08-19,40544,3.51
2021-08-20,40544,3.51
2021-08-21,40545,3.51
2021-08-22,40546,3.51
2021-08-23,40546,3.51
2021-08-24,40547,3.51
2021-08-25,40549,3.51
2021-08-26,40551,3.51
2021-08-27,40553,3.51
2021-08-28,40554,3.51
2021-08-29,40554,3.51
2021-08-30,40554,3.51
2021-08-31,40555,3.51
2021-09-01,40558,3.51
2021-09-02,40559,3.51
2021-09-03,40559,3.51
2021-09-04,40561,3.51
2021-09-05,40561,3.51
2021-09-06,40562,3.51
2021-09-07,40562,3.51
2021-09-08,40562,3.51
2021-09-09,40562,3.51
2021-09-10,40563,3.51
2021-09-11,40565,3.51
2021-09-12,40565,3.51
2021-09-13,40565,3.51
2021-09-14,40565,3.51
2021-09-15,40566,3.51
2021-09-16,40569,3.51
2021-09-17,40571,3.51
2021-09-18,40571,3.51
2021-09-19,40571,3.51
2021-09-20,40573,3.51
2021-09-21,40591,3.51
2021-09-22,40592,3.51
2021-09-23,40592,3.51
2021-09-24,40593,3.51
2021-09-25,40610,3.51
2021-09-26,40611,3.51
2021-09-27,40612,3.51
2021-09-28,40615,3.51
2021-09-29,40616,3.51
2021-09-30,40620,3.51
2021-10-01,40621,3.51
2021-10-02,40624,3.51
2021-10-03,40626,3.51
2021-10-04,40628,3.51
2021-10-05,40629,3.51
2021-10-06,40630,3.51
2021-10-07,40631,3.51
2021-10-08,40631,3.51
2021-10-09,40633,3.51
2021-10-10,40636,3.51
2021-10-11,40638,3.51
2021-10-12,40638,3.51
