Dia,Casos_Totales,Tasa_Ataque
2021-08-10,40528,3.5
2021-08-11,40529,3.5
2021-08-12,40532,3.51
2021-08-13,40535,3.51
2021-08-14,40537,3.51
2021-08-15,40538,3.51
2021-08-16,40539,3.51
2021-08-17,40540,3.51
2021-08-18,40541,3.51
2021-08-19,40544,3.51
2021-08-20,40544,3.51
2021-08-21,40545,3.51
2021-08-22,40546,3.51
2021-08-23,40546,3.51
2021-08-24,40547,3.51
2021-08-25,40549,3.51
2021-08-26,40551,3.51
2021-08-27,40553,3.51
2021-08-28,40554,3.51
2021-08-29,40554,3.51
2021-08-30,40554,3.51
2021-08-31,40555,3.51
2021-09-01,40558,3.51
2021-09-02,40559,3.51
2021-09-03,40559,3.51
2021-09-04,40561,3.51
2021-09-05,40561,3.51
2021-09-06,40562,3.51
2021-09-07,40562,3.51
2021-09-08,40562,3.51
2021-09-09,40562,3.51
2021-09-10,40563,3.51
2021-09-11,40565,3.51
2021-09-12,40565,3.51
2021-09-13,40565,3.51
2021-09-14,40565,3.51
2021-09-15,40566,3.51
2021-09-16,40569,3.51
2021-09-17,40571,3.51
2021-09-18,40571,3.51
2021-09-19,40571,3.51
2021-09-20,40573,3.51
2021-09-21,40591,3.51
2021-09-22,40592,3.51
2021-09-23,40592,3.51
2021-09-24,40593,3.51
2021-09-25,40610,3.51
2021-09-26,40611,3.51
2021-09-27,40612,3.51
2021-09-28,40615,3.51
2021-09-29,40616,3.51
2021-09-30,40620,3.51
2021-10-01,40621,3.51
2021-10-02,40624,3.51
2021-10-03,40626,3.51
2021-10-04,40628,3.51
2021-10-05,40629,3.51
2021-10-06,40630,3.51
2021-10-07,40631,3.51
2021-10-08,40631,3.51
2021-10-09,40633,3.51
2021-10-10,40636,3.51
2021-10-11,40638,3.51
2021-10-12,40638,3.51
