Dia,Casos_Totales,Tasa_Ataque
2021-08-26,2698,1.99
2021-08-27,2699,2
2021-08-28,2700,2
2021-08-29,2700,2
2021-08-30,2700,2
2021-08-31,2700,2
2021-09-01,2700,2
2021-09-02,2700,2
2021-09-03,2700,2
2021-09-04,2700,2
2021-09-05,2701,2
2021-09-06,2701,2
2021-09-07,2701,2
2021-09-08,2701,2
2021-09-09,2702,2
2021-09-10,2702,2
2021-09-11,2702,2
2021-09-12,2702,2
2021-09-13,2702,2
2021-09-14,2704,2
2021-09-15,2704,2
2021-09-16,2704,2
2021-09-17,2704,2
2021-09-18,2704,2
2021-09-19,2705,2
2021-09-20,2705,2
2021-09-21,2708,2
2021-09-22,2708,2
2021-09-23,2708,2
2021-09-24,2708,2
2021-09-25,2711,2
2021-09-26,2712,2.01
2021-09-27,2712,2.01
2021-09-28,2712,2.01
2021-09-29,2712,2.01
2021-09-30,2712,2.01
2021-10-01,2712,2.01
2021-10-02,2712,2.01
2021-10-03,2712,2.01
2021-10-04,2712,2.01
2021-10-05,2713,2.01
2021-10-06,2713,2.01
2021-10-07,2713,2.01
2021-10-08,2713,2.01
2021-10-09,2714,2.01
2021-10-10,2714,2.01
2021-10-11,2714,2.01
2021-10-12,2714,2.01
