Dia,Casos_Totales,Tasa_Ataque
2021-08-10,15004,7.31
2021-08-11,15006,7.31
2021-08-12,15007,7.31
2021-08-13,15008,7.31
2021-08-14,15008,7.31
2021-08-15,15008,7.31
2021-08-16,15008,7.31
2021-08-17,15009,7.31
2021-08-18,15009,7.31
2021-08-19,15009,7.31
2021-08-20,15010,7.31
2021-08-21,15010,7.31
2021-08-22,15010,7.31
2021-08-23,15010,7.31
2021-08-24,15010,7.31
2021-08-25,15010,7.31
2021-08-26,15010,7.31
2021-08-27,15011,7.31
2021-08-28,15011,7.31
2021-08-29,15012,7.31
2021-08-30,15013,7.31
2021-08-31,15014,7.31
2021-09-01,15015,7.31
2021-09-02,15015,7.31
2021-09-03,15017,7.31
2021-09-04,15017,7.31
2021-09-05,15017,7.31
2021-09-06,15017,7.31
2021-09-07,15017,7.31
2021-09-08,15017,7.31
2021-09-09,15018,7.32
2021-09-10,15018,7.32
2021-09-11,15018,7.32
2021-09-12,15018,7.32
2021-09-13,15018,7.32
2021-09-14,15019,7.32
2021-09-15,15019,7.32
2021-09-16,15020,7.32
2021-09-17,15020,7.32
2021-09-18,15020,7.32
2021-09-19,15020,7.32
2021-09-20,15020,7.32
2021-09-21,15023,7.32
2021-09-22,15024,7.32
2021-09-23,15024,7.32
2021-09-24,15026,7.32
2021-09-25,15027,7.32
2021-09-26,15027,7.32
2021-09-27,15027,7.32
2021-09-28,15027,7.32
2021-09-29,15027,7.32
2021-09-30,15028,7.32
2021-10-01,15028,7.32
2021-10-02,15028,7.32
2021-10-03,15028,7.32
2021-10-04,15028,7.32
2021-10-05,15028,7.32
2021-10-06,15028,7.32
2021-10-07,15028,7.32
2021-10-08,15028,7.32
2021-10-09,15029,7.32
2021-10-10,15029,7.32
2021-10-11,15029,7.32
2021-10-12,15029,7.32
