Dia,Casos_Totales,Tasa_Ataque
2021-09-01,16676,3.83
2021-09-02,16677,3.83
2021-09-03,16677,3.83
2021-09-04,16677,3.83
2021-09-05,16678,3.83
2021-09-06,16680,3.83
2021-09-07,16681,3.83
2021-09-08,16681,3.83
2021-09-09,16681,3.83
2021-09-10,16683,3.83
2021-09-11,16683,3.83
2021-09-12,16683,3.83
2021-09-13,16684,3.83
2021-09-14,16686,3.83
2021-09-15,16686,3.83
2021-09-16,16687,3.83
2021-09-17,16687,3.83
2021-09-18,16688,3.83
2021-09-19,16691,3.83
2021-09-20,16692,3.83
2021-09-21,16706,3.84
2021-09-22,16707,3.84
2021-09-23,16710,3.84
2021-09-24,16713,3.84
2021-09-25,16717,3.84
2021-09-26,16717,3.84
2021-09-27,16718,3.84
2021-09-28,16719,3.84
2021-09-29,16719,3.84
2021-09-30,16720,3.84
2021-10-01,16721,3.84
2021-10-02,16724,3.84
2021-10-03,16724,3.84
2021-10-04,16727,3.84
