Dia,Casos_Totales,Tasa_Ataque
2021-04-18,12473,3.23
2021-04-19,12477,3.23
2021-04-20,12482,3.23
2021-04-21,12485,3.23
2021-04-22,12488,3.24
2021-04-23,12495,3.24
2021-04-24,12498,3.24
2021-04-25,12498,3.24
2021-04-26,12505,3.24
2021-04-27,12506,3.24
2021-04-28,12508,3.24
2021-04-29,12512,3.24
2021-04-30,12512,3.24
2021-05-01,12512,3.24
2021-05-02,12514,3.24
2021-05-03,12518,3.24
2021-05-04,12519,3.24
2021-05-05,12522,3.24
2021-05-06,12525,3.25
2021-05-07,12528,3.25
2021-05-08,12530,3.25
2021-05-09,12531,3.25
2021-05-10,12532,3.25
2021-05-11,12540,3.25
2021-05-12,12545,3.25
2021-05-13,12546,3.25
2021-05-14,12549,3.25
2021-05-15,12551,3.25
2021-05-16,12553,3.25
2021-05-17,12561,3.25
2021-05-18,12563,3.26
2021-05-19,12565,3.26
2021-05-20,12567,3.26
2021-05-21,12570,3.26
2021-05-22,12572,3.26
2021-05-23,12572,3.26
2021-05-24,12574,3.26
2021-05-25,12576,3.26
2021-05-26,12579,3.26
2021-05-27,12585,3.26
2021-05-28,12587,3.26
2021-05-29,12588,3.26
2021-05-30,12588,3.26
2021-05-31,12594,3.26
2021-06-01,12596,3.26
2021-06-02,12600,3.26
2021-06-03,12601,3.26
2021-06-04,12602,3.27
2021-06-05,12602,3.27
2021-06-06,12603,3.27
2021-06-07,12603,3.27
2021-06-08,12607,3.27
2021-06-09,12608,3.27
2021-06-10,12613,3.27
2021-06-11,12615,3.27
2021-06-12,12616,3.27
2021-06-13,12616,3.27
2021-06-14,12618,3.27
2021-06-15,12621,3.27
2021-06-16,12624,3.27
2021-06-17,12624,3.27
2021-06-18,12626,3.27
2021-06-19,12628,3.27
2021-06-20,12628,3.27
2021-06-21,12629,3.27
2021-06-22,12629,3.27
2021-06-23,12629,3.27
2021-06-24,12629,3.27
2021-06-25,12629,3.27
2021-06-26,12629,3.27
2021-06-27,12629,3.27
2021-06-28,12629,3.27
2021-06-29,12629,3.27
2021-06-30,12630,3.27
2021-07-01,12631,3.27
2021-07-02,12631,3.27
2021-07-03,12631,3.27
2021-07-04,12631,3.27
2021-07-05,12633,3.27
2021-07-06,12634,3.27
2021-07-07,12634,3.27
2021-07-08,12634,3.27
2021-07-09,12634,3.27
2021-07-10,12636,3.27
2021-07-11,12636,3.27
2021-07-12,12636,3.27
2021-07-13,12637,3.27
2021-07-14,12637,3.27
2021-07-15,12638,3.27
2021-07-16,12639,3.27
2021-07-17,12639,3.27
2021-07-18,12639,3.27
2021-07-19,12642,3.28
2021-07-20,12644,3.28
2021-07-21,12645,3.28
2021-07-22,12645,3.28
2021-07-23,12645,3.28
2021-07-24,12646,3.28
2021-07-25,12647,3.28
2021-07-26,12647,3.28
2021-07-27,12648,3.28
2021-07-28,12648,3.28
2021-07-29,12648,3.28
2021-07-30,12648,3.28
2021-07-31,12650,3.28
2021-08-01,12650,3.28
2021-08-02,12650,3.28
2021-08-03,12650,3.28
2021-08-04,12652,3.28
2021-08-05,12653,3.28
2021-08-06,12655,3.28
2021-08-07,12656,3.28
2021-08-08,12657,3.28
2021-08-09,12657,3.28
2021-08-10,12658,3.28
2021-08-11,12660,3.28
2021-08-12,12663,3.28
2021-08-13,12664,3.28
2021-08-14,12666,3.28
2021-08-15,12667,3.28
2021-08-16,12669,3.28
2021-08-17,12669,3.28
2021-08-18,12671,3.28
2021-08-19,12674,3.28
2021-08-20,12675,3.28
2021-08-21,12676,3.28
2021-08-22,12677,3.28
2021-08-23,12677,3.28
2021-08-24,12677,3.28
2021-08-25,12680,3.29
2021-08-26,12682,3.29
2021-08-27,12683,3.29
2021-08-28,12684,3.29
2021-08-29,12684,3.29
2021-08-30,12684,3.29
2021-08-31,12686,3.29
2021-09-01,12686,3.29
2021-09-02,12688,3.29
2021-09-03,12688,3.29
2021-09-04,12688,3.29
2021-09-05,12688,3.29
2021-09-06,12689,3.29
2021-09-07,12690,3.29
2021-09-08,12691,3.29
2021-09-09,12691,3.29
2021-09-10,12691,3.29
2021-09-11,12692,3.29
2021-09-12,12695,3.29
2021-09-13,12697,3.29
2021-09-14,12697,3.29
2021-09-15,12697,3.29
2021-09-16,12698,3.29
2021-09-17,12702,3.29
2021-09-18,12702,3.29
2021-09-19,12703,3.29
2021-09-20,12704,3.29
2021-09-21,12707,3.29
2021-09-22,12707,3.29
2021-09-23,12708,3.29
2021-09-24,12710,3.29
2021-09-25,12717,3.29
2021-09-26,12718,3.3
2021-09-27,12719,3.3
2021-09-28,12719,3.3
2021-09-29,12721,3.3
2021-09-30,12722,3.3
2021-10-01,12722,3.3
2021-10-02,12722,3.3
2021-10-03,12723,3.3
2021-10-04,12725,3.3
2021-10-05,12726,3.3
2021-10-06,12728,3.3
2021-10-07,12728,3.3
2021-10-08,12728,3.3
2021-10-09,12728,3.3
2021-10-10,12728,3.3
2021-10-11,12728,3.3
2021-10-12,12728,3.3
