Dia,Casos_Totales,Tasa_Ataque
2021-06-10,10659,5.87
2021-06-11,10660,5.87
2021-06-12,10661,5.87
2021-06-13,10662,5.87
2021-06-14,10662,5.87
2021-06-15,10662,5.87
2021-06-16,10663,5.87
2021-06-17,10664,5.87
2021-06-18,10665,5.87
2021-06-19,10665,5.87
2021-06-20,10667,5.87
2021-06-21,10667,5.87
2021-06-22,10668,5.87
2021-06-23,10668,5.87
2021-06-24,10671,5.87
2021-06-25,10671,5.87
2021-06-26,10671,5.87
2021-06-27,10671,5.87
2021-06-28,10672,5.87
2021-06-29,10672,5.87
2021-06-30,10672,5.87
2021-07-01,10672,5.87
2021-07-02,10672,5.87
2021-07-03,10672,5.87
2021-07-04,10672,5.87
2021-07-05,10673,5.87
2021-07-06,10673,5.87
2021-07-07,10673,5.87
2021-07-08,10674,5.87
2021-07-09,10677,5.88
2021-07-10,10677,5.88
2021-07-11,10677,5.88
2021-07-12,10679,5.88
2021-07-13,10679,5.88
2021-07-14,10679,5.88
2021-07-15,10679,5.88
2021-07-16,10680,5.88
2021-07-17,10681,5.88
2021-07-18,10681,5.88
2021-07-19,10681,5.88
2021-07-20,10681,5.88
2021-07-21,10681,5.88
2021-07-22,10681,5.88
2021-07-23,10681,5.88
2021-07-24,10681,5.88
2021-07-25,10681,5.88
2021-07-26,10681,5.88
2021-07-27,10683,5.88
2021-07-28,10683,5.88
2021-07-29,10683,5.88
2021-07-30,10683,5.88
2021-07-31,10684,5.88
2021-08-01,10684,5.88
2021-08-02,10684,5.88
2021-08-03,10684,5.88
2021-08-04,10684,5.88
2021-08-05,10684,5.88
2021-08-06,10684,5.88
2021-08-07,10684,5.88
2021-08-08,10684,5.88
2021-08-09,10685,5.88
2021-08-10,10685,5.88
2021-08-11,10685,5.88
2021-08-12,10685,5.88
2021-08-13,10685,5.88
2021-08-14,10687,5.88
2021-08-15,10688,5.88
2021-08-16,10688,5.88
2021-08-17,10688,5.88
2021-08-18,10688,5.88
2021-08-19,10688,5.88
2021-08-20,10688,5.88
2021-08-21,10688,5.88
2021-08-22,10689,5.88
2021-08-23,10689,5.88
2021-08-24,10689,5.88
2021-08-25,10689,5.88
2021-08-26,10689,5.88
2021-08-27,10689,5.88
2021-08-28,10689,5.88
2021-08-29,10689,5.88
2021-08-30,10689,5.88
2021-08-31,10689,5.88
2021-09-01,10690,5.88
2021-09-02,10690,5.88
2021-09-03,10690,5.88
2021-09-04,10690,5.88
2021-09-05,10690,5.88
2021-09-06,10690,5.88
2021-09-07,10690,5.88
2021-09-08,10690,5.88
2021-09-09,10691,5.88
2021-09-10,10691,5.88
2021-09-11,10691,5.88
2021-09-12,10691,5.88
2021-09-13,10691,5.88
2021-09-14,10692,5.88
2021-09-15,10692,5.88
2021-09-16,10692,5.88
2021-09-17,10692,5.88
2021-09-18,10692,5.88
2021-09-19,10692,5.88
2021-09-20,10692,5.88
2021-09-21,10695,5.89
2021-09-22,10697,5.89
2021-09-23,10697,5.89
2021-09-24,10697,5.89
2021-09-25,10698,5.89
2021-09-26,10698,5.89
2021-09-27,10698,5.89
2021-09-28,10698,5.89
2021-09-29,10698,5.89
2021-09-30,10698,5.89
2021-10-01,10698,5.89
2021-10-02,10699,5.89
2021-10-03,10699,5.89
2021-10-04,10700,5.89
2021-10-05,10700,5.89
2021-10-06,10701,5.89
2021-10-07,10701,5.89
2021-10-08,10702,5.89
2021-10-09,10702,5.89
2021-10-10,10703,5.89
2021-10-11,10704,5.89
2021-10-12,10704,5.89
