Dia,Casos_Totales,Tasa_Ataque
2021-08-13,2977,3.31
2021-08-14,2977,3.31
2021-08-15,2977,3.31
2021-08-16,2978,3.32
2021-08-17,2978,3.32
2021-08-18,2978,3.32
2021-08-19,2978,3.32
2021-08-20,2979,3.32
2021-08-21,2979,3.32
2021-08-22,2979,3.32
2021-08-23,2979,3.32
2021-08-24,2979,3.32
2021-08-25,2979,3.32
2021-08-26,2979,3.32
2021-08-27,2979,3.32
2021-08-28,2979,3.32
2021-08-29,2979,3.32
2021-08-30,2979,3.32
2021-08-31,2979,3.32
2021-09-01,2979,3.32
2021-09-02,2979,3.32
2021-09-03,2980,3.32
2021-09-04,2980,3.32
2021-09-05,2980,3.32
2021-09-06,2980,3.32
2021-09-07,2980,3.32
2021-09-08,2980,3.32
2021-09-09,2980,3.32
2021-09-10,2980,3.32
2021-09-11,2980,3.32
2021-09-12,2980,3.32
2021-09-13,2980,3.32
2021-09-14,2981,3.32
2021-09-15,2981,3.32
2021-09-16,2981,3.32
2021-09-17,2982,3.32
2021-09-18,2984,3.32
2021-09-19,2984,3.32
2021-09-20,2984,3.32
2021-09-21,2984,3.32
2021-09-22,2984,3.32
2021-09-23,2984,3.32
2021-09-24,2984,3.32
2021-09-25,2985,3.32
2021-09-26,2985,3.32
2021-09-27,2985,3.32
2021-09-28,2985,3.32
2021-09-29,2985,3.32
2021-09-30,2985,3.32
2021-10-01,2985,3.32
2021-10-02,2985,3.32
2021-10-03,2985,3.32
2021-10-04,2985,3.32
2021-10-05,2985,3.32
2021-10-06,2985,3.32
2021-10-07,2985,3.32
2021-10-08,2985,3.32
2021-10-09,2985,3.32
2021-10-10,2985,3.32
2021-10-11,2985,3.32
2021-10-12,2985,3.32
