Dia,Casos_Totales,Tasa_Ataque
2021-06-28,5014,3.94
2021-06-29,5014,3.94
2021-06-30,5014,3.94
2021-07-01,5015,3.94
2021-07-02,5015,3.94
2021-07-03,5015,3.94
2021-07-04,5015,3.94
2021-07-05,5015,3.94
2021-07-06,5015,3.94
2021-07-07,5015,3.94
2021-07-08,5015,3.94
2021-07-09,5016,3.94
2021-07-10,5016,3.94
2021-07-11,5016,3.94
2021-07-12,5017,3.94
2021-07-13,5017,3.94
2021-07-14,5017,3.94
2021-07-15,5017,3.94
2021-07-16,5018,3.94
2021-07-17,5018,3.94
2021-07-18,5018,3.94
2021-07-19,5018,3.94
2021-07-20,5019,3.94
2021-07-21,5019,3.94
2021-07-22,5019,3.94
2021-07-23,5019,3.94
2021-07-24,5019,3.94
2021-07-25,5019,3.94
2021-07-26,5019,3.94
2021-07-27,5019,3.94
2021-07-28,5019,3.94
2021-07-29,5019,3.94
2021-07-30,5019,3.94
2021-07-31,5020,3.94
2021-08-01,5020,3.94
2021-08-02,5021,3.94
2021-08-03,5021,3.94
2021-08-04,5021,3.94
2021-08-05,5021,3.94
2021-08-06,5022,3.94
2021-08-07,5022,3.94
2021-08-08,5022,3.94
2021-08-09,5022,3.94
2021-08-10,5022,3.94
2021-08-11,5022,3.94
2021-08-12,5022,3.94
2021-08-13,5022,3.94
2021-08-14,5022,3.94
2021-08-15,5022,3.94
2021-08-16,5022,3.94
2021-08-17,5023,3.94
2021-08-18,5023,3.94
2021-08-19,5023,3.94
2021-08-20,5023,3.94
2021-08-21,5023,3.94
2021-08-22,5023,3.94
2021-08-23,5023,3.94
2021-08-24,5024,3.94
2021-08-25,5026,3.94
2021-08-26,5026,3.94
2021-08-27,5026,3.94
2021-08-28,5026,3.94
2021-08-29,5026,3.94
2021-08-30,5026,3.94
2021-08-31,5026,3.94
2021-09-01,5026,3.94
2021-09-02,5027,3.95
2021-09-03,5027,3.95
2021-09-04,5027,3.95
2021-09-05,5027,3.95
2021-09-06,5027,3.95
2021-09-07,5027,3.95
2021-09-08,5027,3.95
2021-09-09,5027,3.95
2021-09-10,5027,3.95
2021-09-11,5027,3.95
2021-09-12,5027,3.95
2021-09-13,5028,3.95
2021-09-14,5028,3.95
2021-09-15,5028,3.95
2021-09-16,5028,3.95
2021-09-17,5028,3.95
2021-09-18,5028,3.95
2021-09-19,5028,3.95
2021-09-20,5028,3.95
2021-09-21,5031,3.95
2021-09-22,5031,3.95
2021-09-23,5031,3.95
2021-09-24,5031,3.95
2021-09-25,5037,3.95
2021-09-26,5037,3.95
2021-09-27,5037,3.95
2021-09-28,5037,3.95
2021-09-29,5037,3.95
2021-09-30,5037,3.95
2021-10-01,5037,3.95
2021-10-02,5037,3.95
2021-10-03,5037,3.95
2021-10-04,5038,3.95
2021-10-05,5038,3.95
2021-10-06,5039,3.96
2021-10-07,5040,3.96
2021-10-08,5040,3.96
2021-10-09,5041,3.96
2021-10-10,5041,3.96
2021-10-11,5041,3.96
2021-10-12,5041,3.96
