Dia,PCR,PR,AG,Casos_Totales
2021-09-01,5744,17947,5645,29336
2021-09-02,5752,17947,5655,29354
2021-09-03,5760,17947,5660,29367
2021-09-04,5761,17947,5665,29373
2021-09-05,5764,17947,5667,29378
2021-09-06,5765,17948,5674,29387
2021-09-07,5768,17948,5683,29399
2021-09-08,5770,17948,5689,29407
2021-09-09,5775,17948,5692,29415
2021-09-10,5777,17948,5695,29420
2021-09-11,5780,17948,5701,29429
2021-09-12,5780,17948,5702,29430
2021-09-13,5786,17948,5707,29441
2021-09-14,5788,17948,5707,29443
2021-09-15,5791,17948,5713,29452
2021-09-16,5795,17948,5717,29460
2021-09-17,5798,17948,5719,29465
2021-09-18,5798,17948,5721,29467
2021-09-19,5802,17948,5722,29472
2021-09-20,5802,17948,5723,29473
2021-09-21,5806,17949,5731,29486
2021-09-22,5810,17950,5733,29493
2021-09-23,5814,17950,5735,29499
2021-09-24,5816,17950,5737,29503
2021-09-25,5819,17950,5739,29508
2021-09-26,5821,17950,5740,29511
2021-09-27,5824,17950,5740,29514
2021-09-28,5825,17950,5742,29517
2021-09-29,5828,17950,5744,29522
2021-09-30,5832,17950,5748,29530
2021-10-01,5835,17950,5750,29535
2021-10-02,5836,17950,5750,29536
2021-10-03,5836,17950,5752,29538
2021-10-04,5838,17951,5753,29542
2021-10-05,5841,17951,5765,29557
2021-10-06,5843,17952,5771,29566
2021-10-07,5852,17952,5776,29580
2021-10-08,5862,17952,5778,29592
2021-10-09,5865,17952,5781,29598
2021-10-10,5869,17952,5781,29602
2021-10-11,5870,17952,5785,29607
2021-10-12,5878,17952,5787,29617
