Dia,PCR,PR,AG,Casos_Totales
2021-08-19,8279,28563,11164,48006
2021-08-20,8281,28565,11169,48015
2021-08-21,8284,28568,11177,48029
2021-08-22,8284,28568,11178,48030
2021-08-23,8298,28572,11195,48065
2021-08-24,8301,28576,11200,48077
2021-08-25,8305,28577,11209,48091
2021-08-26,8306,28579,11224,48109
2021-08-27,8312,28580,11229,48121
2021-08-28,8319,28581,11239,48139
2021-08-29,8319,28581,11241,48141
2021-08-30,8319,28583,11246,48148
2021-08-31,8327,28587,11254,48168
2021-09-01,8328,28588,11268,48184
2021-09-02,8335,28593,11285,48213
2021-09-03,8335,28595,11287,48217
2021-09-04,8338,28596,11292,48226
2021-09-05,8338,28597,11293,48228
2021-09-06,8340,28598,11301,48239
2021-09-07,8341,28599,11309,48249
2021-09-08,8350,28599,11314,48263
2021-09-09,8353,28599,11318,48270
2021-09-10,8358,28601,11333,48292
2021-09-11,8360,28601,11335,48296
2021-09-12,8360,28604,11340,48304
2021-09-13,8363,28604,11351,48318
2021-09-14,8369,28604,11364,48337
2021-09-15,8370,28606,11370,48346
2021-09-16,8375,28607,11378,48360
2021-09-17,8380,28614,11388,48382
2021-09-18,8380,28615,11396,48391
2021-09-19,8386,28615,11398,48399
2021-09-20,8390,28616,11406,48412
2021-09-21,8396,28619,11408,48423
2021-09-22,8397,28621,11418,48436
2021-09-23,8400,28625,11435,48460
2021-09-24,8401,28625,11451,48477
2021-09-25,8405,28627,11474,48506
2021-09-26,8405,28629,11478,48512
2021-09-27,8406,28629,11488,48523
2021-09-28,8409,28630,11499,48538
2021-09-29,8411,28633,11507,48551
2021-09-30,8413,28635,11517,48565
2021-10-01,8417,28635,11523,48575
2021-10-02,8425,28637,11528,48590
2021-10-03,8425,28638,11530,48593
2021-10-04,8426,28638,11541,48605
2021-10-05,8430,28639,11551,48620
2021-10-06,8431,28641,11557,48629
2021-10-07,8433,28643,11564,48640
2021-10-08,8433,28643,11565,48641
2021-10-09,8437,28644,11571,48652
2021-10-10,8437,28644,11574,48655
2021-10-11,8439,28644,11581,48664
2021-10-12,8440,28645,11583,48668
