Dia,Muertes_Confirmadas,Muertes_Sospechosas,Total_Muertes_SisVig,Total_Muertes_SINADEF
2021-05-03,2474,22,2496,7478
2021-05-04,2510,22,2532,7509
2021-05-05,2518,22,2540,7534
2021-05-06,2535,22,2557,7577
2021-05-07,2553,23,2576,7614
2021-05-08,2570,23,2593,7655
2021-05-09,2583,23,2606,7686
2021-05-10,2598,24,2622,7714
2021-05-11,2609,24,2633,7745
2021-05-12,2632,24,2656,7790
2021-05-13,2651,21,2672,7819
2021-05-14,2667,22,2689,7852
2021-05-15,2686,22,2708,7886
2021-05-16,2700,22,2722,7918
2021-05-17,2717,22,2739,7201
2021-05-18,2740,22,2762,6990
2021-05-19,2756,22,2778,7023
2021-05-20,2784,22,2806,7077
2021-05-21,2801,23,2824,7107
2021-05-22,2816,23,2839,7148
2021-05-23,2848,23,2871,7201
2021-05-24,2855,23,2878,7220
2021-05-25,2866,23,2889,7263
2021-05-26,2880,23,2903,7305
2021-05-27,2901,23,2924,7351
2021-05-28,2920,24,2944,7400
2021-05-29,2929,24,2953,7442
2021-05-30,2929,24,2953,7442
