Dia,Muertes_Confirmadas,Muertes_Sospechosas,Total_Muertes_SisVig,Total_Muertes_SINADEF
2021-04-07,306,17,323,722
2021-04-08,306,17,323,723
2021-04-09,307,17,324,725
2021-04-10,311,17,328,728
2021-04-11,318,18,336,741
2021-04-12,322,18,340,749
2021-04-13,323,18,341,750
2021-04-14,326,18,344,755
2021-04-15,327,18,345,757
2021-04-16,331,18,349,759
2021-04-17,335,18,353,808
2021-04-18,338,18,356,812
2021-04-19,340,18,358,817
2021-04-20,342,18,360,818
2021-04-21,344,17,361,820
2021-04-22,345,18,363,821
2021-04-23,350,18,368,825
2021-04-24,351,20,371,830
2021-04-25,352,20,372,833
2021-04-26,353,20,373,839
2021-04-27,355,20,375,843
2021-04-28,357,21,378,847
2021-04-29,360,21,381,850
2021-04-30,362,21,383,856
2021-05-01,365,21,386,861
2021-05-02,368,21,389,861
2021-05-03,372,21,393,869
2021-05-04,375,21,396,872
2021-05-05,377,21,398,873
2021-05-06,381,21,402,881
2021-05-07,383,21,404,886
2021-05-08,384,21,405,890
2021-05-09,389,21,410,896
2021-05-10,395,22,417,905
2021-05-11,400,22,422,911
2021-05-12,401,22,423,915
2021-05-13,405,21,426,919
2021-05-14,406,21,427,923
2021-05-15,407,21,428,925
2021-05-16,414,21,435,931
2021-05-17,418,21,439,886
2021-05-18,421,21,442,857
2021-05-19,423,21,444,860
2021-05-20,425,21,446,866
2021-05-21,427,21,448,868
2021-05-22,429,21,450,871
2021-05-23,433,21,454,877
2021-05-24,433,21,454,880
2021-05-25,436,21,457,882
2021-05-26,437,21,458,886
2021-05-27,440,21,461,889
2021-05-28,444,21,465,898
2021-05-29,446,21,467,903
2021-05-30,446,21,467,903
