Dia,Muertes_Confirmadas,Muertes_Sospechosas,Total_Muertes_SisVig,Total_Muertes_SINADEF
2021-04-26,3161,1406,4567,8478
2021-04-27,3172,1408,4580,8501
2021-04-28,3191,1426,4617,8535
2021-04-29,3211,1426,4637,8571
2021-04-30,3219,1435,4654,8591
2021-05-01,3230,1435,4665,8620
2021-05-02,3240,1438,4678,8646
2021-05-03,3248,1438,4686,8667
2021-05-04,3269,1439,4708,8688
2021-05-05,3274,1441,4715,8715
2021-05-06,3285,1441,4726,8740
2021-05-07,3294,1441,4735,8764
2021-05-08,3304,1443,4747,8793
2021-05-09,3315,1443,4758,8817
2021-05-10,3329,1444,4773,8844
2021-05-11,3333,1452,4785,8856
2021-05-12,3345,1452,4797,8889
2021-05-13,3355,1480,4835,8910
2021-05-14,3361,1483,4844,8924
2021-05-15,3370,1483,4853,8947
2021-05-16,3382,1483,4865,8967
2021-05-17,3385,1498,4883,8946
2021-05-18,3388,1500,4888,8707
2021-05-19,3393,1501,4894,8720
2021-05-20,3404,1516,4920,8742
2021-05-21,3413,1520,4933,8763
2021-05-22,3424,1522,4946,8784
2021-05-23,3432,1522,4954,8797
2021-05-24,3436,1525,4961,8806
2021-05-25,3439,1530,4969,8817
2021-05-26,3445,1533,4978,8834
2021-05-27,3449,1548,4997,8846
2021-05-28,3460,1562,5022,8872
2021-05-29,3467,1562,5029,8887
2021-05-30,3467,1562,5029,8887
