Dia,Muertes_Confirmadas,Muertes_Sospechosas,Total_Muertes_SisVig,Total_Muertes_SINADEF
2021-05-07,983,4,987,2529
2021-05-08,991,5,996,2538
2021-05-09,997,5,1002,2551
2021-05-10,1002,4,1006,2562
2021-05-11,1003,4,1007,2565
2021-05-12,1014,4,1018,2579
2021-05-13,1021,133,1154,2587
2021-05-14,1024,132,1156,2594
2021-05-15,1031,134,1165,2601
2021-05-16,1034,135,1169,2607
2021-05-17,1042,134,1176,2412
2021-05-18,1047,135,1182,2342
2021-05-19,1050,136,1186,2345
2021-05-20,1053,134,1187,2355
2021-05-21,1060,134,1194,2365
2021-05-22,1065,135,1200,2376
2021-05-23,1070,135,1205,2385
2021-05-24,1076,134,1210,2392
2021-05-25,1076,134,1210,2404
2021-05-26,1078,134,1212,2409
2021-05-27,1080,135,1215,2417
2021-05-28,1085,134,1219,2432
2021-05-29,1088,134,1222,2442
2021-05-30,1088,134,1222,2442
