Dia,Muertes_Confirmadas,Muertes_Sospechosas,Total_Muertes_SisVig,Total_Muertes_SINADEF
2021-05-02,24508,4617,29125,73463
2021-05-03,24601,4616,29217,73711
2021-05-04,24811,4626,29437,73924
2021-05-05,24900,4648,29548,74121
2021-05-06,25014,4641,29655,74401
2021-05-07,25100,4650,29750,74603
2021-05-08,25190,4655,29845,74817
2021-05-09,25282,4660,29942,75031
2021-05-10,25382,4664,30046,75236
2021-05-11,25445,4673,30118,75379
2021-05-12,25569,4673,30242,75636
2021-05-13,25664,4468,30132,75791
2021-05-14,25756,4488,30244,75959
2021-05-15,25845,4483,30328,76139
2021-05-16,25916,4492,30408,76293
2021-05-17,26004,4496,30500,75022
2021-05-18,26077,4496,30573,73182
2021-05-19,26135,4500,30635,73294
2021-05-20,26219,4504,30723,73483
2021-05-21,26283,4507,30790,73585
2021-05-22,26354,4503,30857,73734
2021-05-23,26441,4505,30946,73883
2021-05-24,26466,4515,30981,73965
2021-05-25,26522,4531,31053,74129
2021-05-26,26571,4534,31105,74250
2021-05-27,26608,4533,31141,74370
2021-05-28,26651,4541,31192,74504
2021-05-29,26672,4544,31216,74595
2021-05-30,26672,4544,31216,74595
