Dia,Muertes_Confirmadas,Muertes_Sospechosas,Total_Muertes_SisVig,Total_Muertes_SINADEF
2021-05-09,887,257,1144,3297
2021-05-10,897,259,1156,3319
2021-05-11,900,259,1159,3327
2021-05-12,912,259,1171,3351
2021-05-13,917,244,1161,3362
2021-05-14,925,246,1171,3376
2021-05-15,934,246,1180,3398
2021-05-16,939,246,1185,3410
2021-05-17,954,247,1201,3201
2021-05-18,959,247,1206,3056
2021-05-19,964,245,1209,3072
2021-05-20,974,248,1222,3095
2021-05-21,983,248,1231,3112
2021-05-22,989,248,1237,3125
2021-05-23,999,248,1247,3150
2021-05-24,1007,248,1255,3163
2021-05-25,1010,248,1258,3186
2021-05-26,1016,249,1265,3203
2021-05-27,1021,250,1271,3224
2021-05-28,1030,251,1281,3244
2021-05-29,1038,251,1289,3264
2021-05-30,1038,251,1289,3264
