Dia,Muertes_Totales,Tasa_Mortalidad
2021-09-01,348,72.11
2021-09-02,348,72.11
2021-09-03,348,72.11
2021-09-04,348,72.11
2021-09-05,348,72.11
2021-09-06,348,72.11
2021-09-07,348,72.11
2021-09-08,348,72.11
2021-09-09,348,72.11
2021-09-10,349,72.32
2021-09-11,348,72.11
2021-09-12,348,72.11
2021-09-13,348,7.21
2021-09-14,348,7.21
2021-09-15,348,7.21
2021-09-16,348,7.21
2021-09-17,348,7.21
2021-09-18,349,7.23
2021-09-19,349,7.23
2021-09-20,348,7.21
2021-09-21,348,7.21
2021-09-22,348,7.21
2021-09-23,348,7.21
2021-09-24,348,7.21
2021-09-25,348,7.21
2021-09-26,348,7.21
2021-09-27,348,7.21
2021-09-28,348,7.21
2021-09-29,349,7.23
2021-09-30,349,7.23
2021-10-01,349,7.23
2021-10-02,349,7.23
2021-10-03,349,7.23
2021-10-04,349,7.23
2021-10-05,349,7.23
2021-10-06,349,7.23
2021-10-07,350,7.25
2021-10-08,350,7.25
2021-10-09,349,7.23
2021-10-10,349,7.23
2021-10-11,349,7.23
