Dia,Muertes_Totales,Tasa_Mortalidad
2021-04-05,1169,17.15
2021-04-06,1177,17.27
2021-04-07,1188,17.43
2021-04-08,1196,17.55
2021-04-09,1204,17.67
2021-04-10,1211,17.77
2021-04-11,1220,17.9
2021-04-12,1226,17.99
2021-04-13,1235,18.12
2021-04-14,1248,18.31
2021-04-15,1256,18.43
2021-04-16,1263,18.53
2021-04-17,1277,18.74
2021-04-18,1283,18.83
2021-04-19,1294,18.99
2021-04-20,1304,19.14
2021-04-21,1309,19.21
2021-04-22,1312,19.25
2021-04-23,1324,19.43
2021-04-24,1328,19.49
2021-04-25,1331,19.53
2021-04-26,1339,19.65
2021-04-27,1343,19.71
2021-04-28,1353,19.86
2021-04-29,1356,19.9
2021-04-30,1359,19.94
2021-05-01,1365,20.03
2021-05-02,1368,20.08
2021-05-03,1378,20.22
2021-05-04,1386,20.34
2021-05-05,1386,20.34
2021-05-06,1393,20.44
2021-05-07,1397,20.5
2021-05-08,1399,20.53
2021-05-09,1406,20.63
2021-05-10,1410,20.69
2021-05-11,1412,20.72
2021-05-12,1416,20.78
2021-05-13,1422,20.87
2021-05-14,1427,20.94
2021-05-15,1427,20.94
2021-05-16,1436,21.07
2021-05-17,1442,21.16
2021-05-18,1444,21.19
2021-05-19,1448,21.25
2021-05-20,1451,21.29
2021-05-21,1454,21.34
2021-05-22,1458,21.4
2021-05-23,1464,21.48
2021-05-24,1466,21.51
2021-05-25,1468,21.54
2021-05-26,1468,21.54
2021-05-27,1472,21.6
2021-05-28,1475,21.65
2021-05-29,1476,21.66
2021-05-30,1476,21.66
2021-05-31,4407,64.67
2021-06-01,4405,64.64
2021-06-02,4413,64.76
2021-06-03,4419,64.85
2021-06-04,4423,64.91
2021-06-05,4431,65.02
2021-06-06,4434,65.07
2021-06-07,4435,65.08
2021-06-08,4440,65.16
2021-06-09,4446,65.24
2021-06-10,4453,65.35
2021-06-11,4459,65.44
2021-06-12,4465,65.52
2021-06-13,4470,65.6
2021-06-14,4475,65.67
2021-06-15,4479,65.73
2021-06-16,4479,65.73
2021-06-17,4479,65.73
2021-06-18,4480,65.74
2021-06-19,4484,65.8
2021-06-20,4486,65.83
2021-06-21,4489,65.88
2021-06-22,4491,65.9
2021-06-23,4500,66.04
2021-06-24,4501,66.05
2021-06-25,4496,65.98
2021-06-26,4508,66.15
2021-06-27,4512,66.21
2021-06-28,4515,66.26
2021-06-29,4515,66.26
2021-06-30,4517,66.29
2021-07-01,4517,66.29
2021-07-02,4519,66.32
2021-07-03,4525,66.4
2021-07-04,4528,66.45
2021-07-05,4532,66.51
2021-07-06,4538,66.59
2021-07-07,4542,66.65
2021-07-08,4545,66.7
2021-07-09,4547,66.73
2021-07-10,4549,66.76
2021-07-11,4550,66.77
2021-07-12,4549,66.76
2021-07-13,4554,66.83
2021-07-14,4559,66.9
2021-07-15,4558,66.89
2021-07-16,4558,66.89
2021-07-17,4562,66.95
2021-07-18,4563,66.96
2021-07-19,4566,67.01
2021-07-20,4576,67.15
2021-07-21,4580,67.21
2021-07-22,4579,67.2
2021-07-23,4577,67.17
2021-07-24,4580,67.21
2021-07-25,4580,67.21
2021-07-26,4581,67.23
2021-07-27,4590,67.36
2021-07-28,4589,67.34
2021-07-29,4592,67.39
2021-07-30,4592,67.39
2021-07-31,4591,67.37
2021-08-01,4592,67.39
2021-08-02,4592,67.39
2021-08-03,4612,67.68
2021-08-04,4617,67.75
2021-08-05,4617,67.75
2021-08-06,4616,67.74
2021-08-07,4618,67.77
2021-08-08,4621,67.81
2021-08-09,4621,67.81
2021-08-10,4630,67.94
2021-08-11,4631,67.96
2021-08-12,4630,67.94
2021-08-13,4630,67.94
2021-08-14,4637,68.05
2021-08-15,4637,68.05
2021-08-16,4638,68.06
2021-08-17,4634,68
2021-08-18,4632,67.97
2021-08-19,4634,68
2021-08-20,4635,68.02
2021-08-21,4633,67.99
2021-08-22,4633,67.99
2021-08-23,4633,67.99
2021-08-24,4639,68.08
2021-08-25,4638,68.06
2021-08-26,4635,68.02
2021-08-27,4643,68.14
2021-08-28,4645,68.16
2021-08-29,4644,68.15
2021-08-30,4647,68.19
2021-08-31,4648,68.21
2021-09-01,4648,68.21
2021-09-02,4649,68.22
2021-09-03,4648,68.21
2021-09-04,4648,68.21
2021-09-05,4649,68.22
2021-09-06,4649,68.22
2021-09-07,4649,68.22
2021-09-08,4650,68.24
2021-09-09,4651,68.25
2021-09-10,4651,68.25
2021-09-11,4652,68.27
2021-09-12,4653,68.28
2021-09-13,4654,6.83
2021-09-14,4653,6.83
2021-09-15,4653,6.83
2021-09-16,4655,6.83
2021-09-17,4656,6.83
2021-09-18,4655,6.83
2021-09-19,4656,6.83
2021-09-20,4657,6.83
2021-09-21,4659,6.84
2021-09-22,4659,6.84
2021-09-23,4659,6.84
2021-09-24,4659,6.84
2021-09-25,4660,6.84
2021-09-26,4660,6.84
2021-09-27,4661,6.84
2021-09-28,4661,6.84
2021-09-29,4662,6.84
2021-09-30,4663,6.84
2021-10-01,4662,6.84
2021-10-02,4661,6.84
2021-10-03,4662,6.84
2021-10-04,4662,6.84
2021-10-05,4663,6.84
2021-10-06,4666,6.85
2021-10-07,4667,6.85
2021-10-08,4667,6.85
2021-10-09,4667,6.85
2021-10-10,4669,6.85
2021-10-11,4669,6.85
2021-10-12,4669,6.85
2021-10-13,4669,6.85
2021-10-14,4669,6.85
2021-10-15,4669,6.85
2021-10-16,4670,6.85
2021-10-17,4670,6.85
2021-10-18,4673,6.86
2021-10-19,4671,6.85
2021-10-20,4674,6.86
2021-10-21,4674,6.86
2021-10-22,4675,6.86
2021-10-23,4674,6.86
2021-10-24,4674,6.86
2021-10-25,4676,6.86
2021-10-26,4676,6.86
