Dia,Muertes_Totales,Tasa_Mortalidad
2021-05-17,866,24.03
2021-05-18,866,24.03
2021-05-19,868,24.09
2021-05-20,869,24.12
2021-05-21,872,24.2
2021-05-22,875,24.28
2021-05-23,879,24.39
2021-05-24,880,24.42
2021-05-25,881,24.45
2021-05-26,884,24.53
2021-05-27,885,24.56
2021-05-28,885,24.56
2021-05-29,886,24.59
2021-05-30,886,24.59
2021-05-31,2284,63.38
2021-06-01,2287,63.47
2021-06-02,2286,63.44
2021-06-03,2291,63.58
2021-06-04,2293,63.63
2021-06-05,2292,63.6
2021-06-06,2296,63.72
2021-06-07,2302,63.88
2021-06-08,2306,63.99
2021-06-09,2309,64.08
2021-06-10,2312,64.16
2021-06-11,2311,64.13
2021-06-12,2313,64.19
2021-06-13,2313,64.19
2021-06-14,2314,64.21
2021-06-15,2315,64.24
2021-06-16,2313,64.19
2021-06-17,2313,64.19
2021-06-18,2314,64.21
2021-06-19,2315,64.24
2021-06-20,2317,64.3
2021-06-21,2316,64.27
2021-06-22,2319,64.35
2021-06-23,2321,64.41
2021-06-24,2321,64.41
2021-06-25,2313,64.19
2021-06-26,2317,64.3
2021-06-27,2321,64.41
2021-06-28,2322,64.44
2021-06-29,2322,64.44
2021-06-30,2323,64.46
2021-07-01,2330,64.66
2021-07-02,2332,64.71
2021-07-03,2331,64.69
2021-07-04,2329,64.63
2021-07-05,2333,64.74
2021-07-06,2335,64.8
2021-07-07,2336,64.83
2021-07-08,2337,64.85
2021-07-09,2336,64.83
2021-07-10,2341,64.96
2021-07-11,2341,64.96
2021-07-12,2341,64.96
2021-07-13,2340,64.94
2021-07-14,2342,64.99
2021-07-15,2340,64.94
2021-07-16,2336,64.83
2021-07-17,2338,64.88
2021-07-18,2340,64.94
2021-07-19,2340,64.94
2021-07-20,2341,64.96
2021-07-21,2341,64.96
2021-07-22,2342,64.99
2021-07-23,2349,65.19
2021-07-24,2343,65.02
2021-07-25,2347,65.13
2021-07-26,2351,65.24
2021-07-27,2348,65.16
2021-07-28,2351,65.24
2021-07-29,2348,65.16
2021-07-30,2350,65.21
2021-07-31,2347,65.13
2021-08-01,2350,65.21
2021-08-02,2348,65.16
2021-08-03,2350,65.21
2021-08-04,2350,65.21
2021-08-05,2349,65.19
2021-08-06,2351,65.24
2021-08-07,2354,65.32
2021-08-08,2353,65.3
2021-08-09,2355,65.35
2021-08-10,2357,65.41
2021-08-11,2358,65.44
2021-08-12,2360,65.49
2021-08-13,2360,65.49
2021-08-14,2359,65.46
2021-08-15,2361,65.52
2021-08-16,2359,65.46
2021-08-17,2363,65.57
2021-08-18,2362,65.55
2021-08-19,2364,65.6
2021-08-20,2364,65.6
2021-08-21,2364,65.6
2021-08-22,2365,65.63
2021-08-23,2364,65.6
2021-08-24,2364,65.6
2021-08-25,2363,65.57
2021-08-26,2363,65.57
2021-08-27,2363,65.57
2021-08-28,2363,65.57
2021-08-29,2365,65.63
2021-08-30,2364,65.6
2021-08-31,2364,65.6
2021-09-01,2364,65.6
2021-09-02,2364,65.6
2021-09-03,2364,65.6
2021-09-04,2366,65.66
2021-09-05,2366,65.66
2021-09-06,2366,65.66
2021-09-07,2366,65.66
2021-09-08,2366,65.66
2021-09-09,2367,65.69
2021-09-10,2369,65.74
2021-09-11,2367,65.69
2021-09-12,2367,65.69
2021-09-13,2367,6.57
2021-09-14,2369,6.57
2021-09-15,2368,6.57
2021-09-16,2368,6.57
2021-09-17,2368,6.57
2021-09-18,2369,6.57
2021-09-19,2369,6.57
2021-09-20,2367,6.57
2021-09-21,2369,6.57
2021-09-22,2370,6.58
2021-09-23,2371,6.58
2021-09-24,2371,6.58
2021-09-25,2371,6.58
2021-09-26,2370,6.58
2021-09-27,2372,6.58
2021-09-28,2372,6.58
2021-09-29,2370,6.58
2021-09-30,2371,6.58
2021-10-01,2372,6.58
2021-10-02,2371,6.58
2021-10-03,2374,6.59
2021-10-04,2372,6.58
2021-10-05,2375,6.59
2021-10-06,2374,6.59
2021-10-07,2373,6.59
2021-10-08,2374,6.59
2021-10-09,2374,6.59
2021-10-10,2375,6.59
2021-10-11,2376,6.59
2021-10-12,2376,6.59
