Dia,Muertes_Totales,Tasa_Mortalidad
2021-05-14,169,12.59
2021-05-15,169,12.59
2021-05-16,170,12.67
2021-05-17,170,12.67
2021-05-18,170,12.67
2021-05-19,170,12.67
2021-05-20,170,12.67
2021-05-21,171,12.74
2021-05-22,171,12.74
2021-05-23,171,12.74
2021-05-24,171,12.74
2021-05-25,172,12.81
2021-05-26,172,12.81
2021-05-27,172,12.81
2021-05-28,173,12.89
2021-05-29,173,12.89
2021-05-30,173,12.89
2021-05-31,458,34.12
2021-06-01,460,34.27
2021-06-02,461,34.35
2021-06-03,462,34.42
2021-06-04,462,34.42
2021-06-05,463,34.5
2021-06-06,462,34.42
2021-06-07,462,34.42
2021-06-08,463,34.5
2021-06-09,464,34.57
2021-06-10,464,34.57
2021-06-11,466,34.72
2021-06-12,466,34.72
2021-06-13,467,34.79
2021-06-14,468,34.87
2021-06-15,468,34.87
2021-06-16,469,34.94
2021-06-17,469,34.94
2021-06-18,469,34.94
2021-06-19,470,35.02
2021-06-20,473,35.24
2021-06-21,473,35.24
2021-06-22,473,35.24
2021-06-23,473,35.24
2021-06-24,473,35.24
2021-06-25,471,35.09
2021-06-26,472,35.17
2021-06-27,472,35.17
2021-06-28,474,35.32
2021-06-29,474,35.32
2021-06-30,475,35.39
2021-07-01,476,35.46
2021-07-02,477,35.54
2021-07-03,478,35.61
2021-07-04,479,35.69
2021-07-05,481,35.84
2021-07-06,481,35.84
2021-07-07,481,35.84
2021-07-08,481,35.84
2021-07-09,481,35.84
2021-07-10,481,35.84
2021-07-11,481,35.84
2021-07-12,481,35.84
2021-07-13,482,35.91
2021-07-14,482,35.91
2021-07-15,482,35.91
2021-07-16,481,35.84
2021-07-17,481,35.84
2021-07-18,482,35.91
2021-07-19,481,35.84
2021-07-20,481,35.84
2021-07-21,483,35.99
2021-07-22,483,35.99
2021-07-23,484,36.06
2021-07-24,485,36.13
2021-07-25,484,36.06
2021-07-26,484,36.06
2021-07-27,484,36.06
2021-07-28,484,36.06
2021-07-29,485,36.13
2021-07-30,485,36.13
2021-07-31,483,35.99
2021-08-01,485,36.13
2021-08-02,484,36.06
2021-08-03,485,36.13
2021-08-04,483,35.99
2021-08-05,485,36.13
2021-08-06,485,36.13
2021-08-07,485,36.13
2021-08-08,484,36.06
2021-08-09,485,36.13
2021-08-10,485,36.13
2021-08-11,485,36.13
2021-08-12,486,36.21
2021-08-13,486,36.21
2021-08-14,485,36.13
2021-08-15,485,36.13
2021-08-16,485,36.13
2021-08-17,486,36.21
2021-08-18,486,36.21
2021-08-19,486,36.21
2021-08-20,486,36.21
2021-08-21,487,36.28
2021-08-22,487,36.28
2021-08-23,487,36.28
2021-08-24,487,36.28
2021-08-25,487,36.28
2021-08-26,487,36.28
2021-08-27,487,36.28
2021-08-28,487,36.28
2021-08-29,487,36.28
2021-08-30,487,36.28
2021-08-31,487,36.28
2021-09-01,487,36.28
2021-09-02,487,36.28
2021-09-03,487,36.28
2021-09-04,487,36.28
2021-09-05,487,36.28
2021-09-06,487,36.28
2021-09-07,488,36.36
2021-09-08,488,36.36
2021-09-09,488,36.36
2021-09-10,488,36.36
2021-09-11,488,36.36
2021-09-12,488,36.36
2021-09-13,488,3.64
2021-09-14,488,3.64
2021-09-15,488,3.64
2021-09-16,488,3.64
2021-09-17,488,3.64
2021-09-18,488,3.64
2021-09-19,488,3.64
2021-09-20,488,3.64
2021-09-21,488,3.64
2021-09-22,488,3.64
2021-09-23,488,3.64
2021-09-24,488,3.64
2021-09-25,488,3.64
2021-09-26,489,3.64
2021-09-27,489,3.64
2021-09-28,489,3.64
2021-09-29,489,3.64
2021-09-30,490,3.65
2021-10-01,490,3.65
2021-10-02,490,3.65
2021-10-03,490,3.65
2021-10-04,491,3.66
2021-10-05,491,3.66
2021-10-06,491,3.66
2021-10-07,491,3.66
2021-10-08,491,3.66
2021-10-09,491,3.66
2021-10-10,491,3.66
2021-10-11,491,3.66
2021-10-12,491,3.66
