Dia,PCR,PR,AG,Pruebas_Totales
2021-07-04,27600,123595,56296,207491
2021-07-05,27859,123799,56757,208415
2021-07-06,27896,124089,57230,209215
2021-07-07,28222,124234,57790,210246
2021-07-08,28459,124410,58521,211390
2021-07-09,28564,124529,59190,212283
2021-07-10,28877,124745,59611,213233
2021-07-11,28877,124893,59767,213537
2021-07-12,28946,125077,60233,214256
2021-07-13,29278,125291,60865,215434
2021-07-14,29466,125491,61661,216618
2021-07-15,29819,125774,62292,217885
2021-07-16,29971,125951,62902,218824
2021-07-17,30038,126196,63449,219683
2021-07-18,30273,126289,63630,220192
2021-07-19,30559,126567,64179,221305
2021-07-20,30802,126803,64698,222303
2021-07-21,31050,126908,65396,223354
2021-07-22,31067,127017,66187,224271
2021-07-23,31415,127208,66902,225525
2021-07-24,31699,127324,67723,226746
2021-07-25,31717,127358,67915,226990
2021-07-26,31853,127490,68558,227901
2021-07-27,31867,127575,69074,228516
2021-07-28,31981,127587,69375,228943
2021-07-29,32089,127597,69510,229196
2021-07-30,32229,127679,69966,229874
2021-07-31,32330,127821,70403,230554
2021-08-01,32330,127857,70662,230849
2021-08-02,32454,127949,71155,231558
2021-08-03,32542,128064,71804,232410
2021-08-04,32575,128143,72443,233161
2021-08-05,32746,128238,72932,233916
2021-08-06,32817,128301,73430,234548
2021-08-07,32828,128351,73769,234948
2021-08-08,32870,128467,73920,235257
2021-08-09,32950,128568,74505,236023
2021-08-10,33072,128647,74821,236540
2021-08-11,33120,128733,75395,237248
2021-08-12,33281,128774,75852,237907
2021-08-13,33356,128791,76342,238489
2021-08-14,33365,128811,76782,238958
2021-08-15,33409,128811,76866,239086
2021-08-16,33460,128823,77277,239560
2021-08-17,33504,128890,77707,240101
2021-08-18,33551,128949,78133,240633
2021-08-19,33633,128985,78551,241169
2021-08-20,33677,129036,79092,241805
2021-08-21,33895,129068,79564,242527
2021-08-22,33966,129071,79616,242653
2021-08-23,34025,129093,80122,243240
2021-08-24,34026,129111,80638,243775
2021-08-25,34196,129123,81023,244342
2021-08-26,34247,129144,81430,244821
2021-08-27,34295,129168,81732,245195
2021-08-28,34318,129176,81936,245430
2021-08-29,34337,129176,82088,245601
2021-08-30,34358,129180,82338,245876
2021-08-31,34363,129199,82620,246182
2021-09-01,34396,129205,83068,246669
2021-09-02,34421,129206,83477,247104
2021-09-03,34464,129209,83739,247412
2021-09-04,34501,129231,84038,247770
2021-09-05,34501,129231,84175,247907
2021-09-06,34507,129243,84485,248235
2021-09-07,34553,129268,84903,248724
2021-09-08,34572,129325,85301,249198
2021-09-09,34601,129333,85659,249593
2021-09-10,34629,129408,86145,250182
2021-09-11,34652,129419,86392,250463
2021-09-12,34652,129476,86617,250745
2021-09-13,34677,129508,87152,251337
2021-09-14,34705,129560,87509,251774
2021-09-15,34718,129608,87816,252142
2021-09-16,34782,129624,88180,252586
2021-09-17,34807,129659,88505,252971
2021-09-18,34856,129698,88666,253220
2021-09-19,34856,129699,88754,253309
2021-09-20,34894,129726,89001,253621
2021-09-21,34949,129729,89416,254094
2021-09-22,34971,129737,89737,254445
2021-09-23,35046,129807,90243,255096
2021-09-24,35097,129819,90590,255506
2021-09-25,35115,129822,90879,255816
2021-09-26,35152,129822,90953,255927
2021-09-27,35196,129873,91202,256271
2021-09-28,35306,129932,91565,256803
2021-09-29,35413,129961,91984,257358
2021-09-30,35550,130002,92280,257832
2021-10-01,35636,130021,92534,258191
2021-10-02,35816,130021,92839,258676
2021-10-03,35817,130021,92992,258830
2021-10-04,35838,130021,93242,259101
2021-10-05,35943,130023,93393,259359
2021-10-06,35943,130040,93616,259599
2021-10-07,36094,130045,93974,260113
2021-10-08,36094,130046,94100,260240
2021-10-09,36148,130046,94273,260467
2021-10-10,36205,130046,94324,260575
2021-10-11,36295,130047,94453,260795
2021-10-12,36313,130052,94748,261113
